pid,PCC_1,PCC_2,PCC_3,PCC_4,PCC_5,CAF_1,CAF_2,CAF_3,CAF_4,CAF_5,T4_1,T4_2,T4_3,T4_4,T4_5,T8_1,T8_2,T8_3,T8_4,T8_5,Treg_1,Treg_2,Treg_3,Treg_4,Treg_5,B_1,B_2,B_3,B_4,B_5,NEU_1,NEU_2,NEU_3,NEU_4,NEU_5,MO_1,MO_2,MO_3,MO_4,MO_5,MAC_1,MAC_2,MAC_3,MAC_4,MAC_5,DC_1,DC_2,DC_3,DC_4,DC_5
Q8BK35,37674.34766,34709.82422,25579.17383,26988.07813,62051.67969,24406.74414,20284.30078,16861.00391,25238.21875,29579.85547,25323.63281,43188.54688,27009.94141,37963.71875,22487.38281,24714.71094,28445.89258,23078.5293,35467.66797,50891.14453,23853.93555,21378.35742,20898.83984,30093.98828,92230.125,40843.14063,34511.05469,36014.86328,28724.625,98313.25,26005.69727,16256.71973,26461.52148,19272.11328,29089.65234,30384.49023,21635.12305,25662.29688,22514.58789,32187.83398,24208.36719,30729.20703,27104.10938,31523.48633,30320.24609,21877.98828,64069.79297,22474.60156,35783.60938,82843.25781
Q8BK58,31742.14648,43832.19922,31535.6582,18953.68555,25651.91797,28594.54883,15452.83203,31246.72656,19142.94922,30586.0293,61949.75,28432.75195,60291.98828,59906.71094,47013.98828,40923.30078,57545.86719,45898.34766,27177.82813,15418.08887,28704.4668,29021.79492,37290.57422,31369.43164,35827.58594,21487.28125,54783.65625,33262.88281,22910.76367,22682.88477,24986.41406,22930.09766,30751.33594,21036.44531,32422.69531,19918.07617,22111.67773,24588.69727,18613.1582,22022.53516,25819.41992,25510.06055,40456.73828,25922.57617,23029.89844,83242.22656,14596.02832,25954.88086,94359.17188,19700.0293
Q8BK62,28969.77539,21937.26172,21304.98438,19141.3418,30329.56641,68415.90625,80516.83594,25909.93359,16721.27148,88280.76563,29575.45508,39053.62891,25703.00781,34297.09375,19586.00977,45915.06641,20559.98828,37756.87109,26853.57813,17970.56836,34005.55859,29555.42383,31080.29883,29702.23828,25308.78906,28164.4668,18157.41992,38961.60156,29996.65039,23678.71875,33234.13281,19726.96484,19840.95117,19608.70703,49668.22656,23046.81836,23523.64258,28525.12891,34623.36328,36244.90625,28835.19531,19001.36914,26216.5332,24945.55078,28698.07227,17567.2207,21450.93555,29144.70117,22632.82813,19096.14844
Q8BK63,76701.89063,105032.9766,118496.625,102496.8359,112602.5469,88443.375,96453.54688,108592.5234,114713.0938,80112.28125,88004.92969,107008.5781,72781.9375,107466.5156,90634.66406,116766.6797,100122.7422,94131.89844,78301.48438,86893.78125,96018.53906,95450.88281,98887.86719,114604.4063,95314.82031,71188.47656,31183.07031,38618.36719,76868.47656,97308.5,101630.1484,124192.1563,84054.5,79454.40625,27497.25,86337.02344,102545.4922,95766.38281,84380.0625,104502.8984,87070.29688,93888.17188,81147.875,94178.82813,95192.91406,81448.39063,98255.94531,114057.0859,110329.0703,95259.51563
Q8BK64,28679.20313,105794.0469,92429.33594,24940.47266,80916.36719,130606.1719,115952.2734,101714.0234,138643.3125,126978.9063,208472.625,136271.7969,189702.9219,120634.8438,179274.75,137902.9375,202587.1875,198058.0625,144685.5156,179336.6094,167823.6406,223899.4531,222265.8281,159818.5781,187149.3125,162420.4531,146840.1563,94405.96094,186944.2969,176264.8594,187655.4844,129941.1875,107796.3594,131233.0781,134471.9063,188410.9531,188049.875,135482.8281,163287.2813,220748.5938,185654.1875,182216.0156,117845.7734,191134.3594,192053.8438,204386.1406,186867.7031,163038.125,213762.6563,185860.9688
Q8BK67,84669.82031,172611.0469,117914.0313,90426.89063,160429.3125,124847.5234,162859.75,138921.2813,161817.1094,101645.6016,283418.7188,317623.5625,266383.25,301394.5938,360964.7188,252657.1094,339802.7813,307120.0313,325397.125,338070.875,275967.0938,274234.4063,299078.0938,284726.0625,285295.4063,398870.875,418130.9688,305090.5,349210.6875,432552.3125,170007,215244.6875,146637.625,216446.6406,203109.3281,217376.3594,277554.3438,234638.5,257153.2813,314782.1563,166778.9844,217092.0313,156149.375,171225.9531,241159.0313,178158.1094,206633.6094,165338.8125,206099.125,286048.875
Q8BK72,388882.1563,387245.5313,329561.625,373771.9688,260553.5625,201940.5938,155457.0625,192568.4375,164474.5781,190313.1094,174598.2031,52127.76953,24024.41406,156821.3438,138652.8438,37016.29297,25000.10938,181235.3125,139547.3281,172919.8594,152314.5156,235987.75,264150.6875,124748.3594,160253.1563,39233.95703,32281.80469,38905.85547,113961.6719,176893.7656,172955.0625,180348.0625,192081.2656,29135.91602,20666.27148,184372.4844,161320.9063,182344.4688,154248.5781,180232.4688,163243.6719,128001.1641,179011.375,14201.28223,166820.0156,170425.3438,140937.7188,231326.7344,162243.625,133591.0625
Q8BKC5,81571.67188,92215.98438,90028.10938,63424.85547,95663.75781,150545.1563,146860.9219,118191.5313,143529.4375,101815.3359,138281.4063,139757.4375,137789.4063,106762.4141,147491.9375,139150.125,134309.1563,133062.4375,116435.5547,148852.4219,133773.0938,137955.8281,145492.875,135407.2656,174347.4688,139965.6406,130655.5625,92763.78906,144898,129967.4688,142970.5625,136673.7969,128038.9063,152173.4219,140782.4063,169665.0313,175473.3906,169406.375,139753.5625,175601.9531,152240.0156,165359.3594,144972.5313,172648.0156,152488.3906,151798.2656,165580.9688,153527.75,161388.9531,173195.5625
Q8BKE6,148723.9688,114432.5703,119970.1797,126459.0547,102237.9297,150373.6875,158672.0156,163332.4063,118255.7734,211598.4375,24801.71289,30339.93359,34224.87109,25892.17773,25202.8418,45781.19922,30797.51367,16237.86035,19248.22852,20860.75977,40062.23047,97313.25781,105615.5859,29015.63672,91248.20313,29360.26758,35377.58594,26929.03711,33747.69922,20700.89063,97411.98438,99616.25781,107583.5078,72068.39844,31779.41211,124024.2969,89161.17969,97310.17188,102737.9141,150046.6094,120927.5391,116835.0859,136459.2969,128878.7266,124943.125,123528.6328,99984.375,155309.7813,109983.7656,124561.4766
Q8BKG3,86388.40625,78374.60156,27370.75977,69491.6875,37075.21094,130176.75,141321.3281,134306.5,136741.2031,169879.6094,37342.30469,24590.14453,21291.91992,33710.86328,17359.3418,26179.54102,19854.30859,41208.95703,34359.13672,24661.3457,26928.11328,28429.61328,22327.86914,35663.50391,15600.47363,36715.47656,37258.34766,64785.44922,20500.88477,20371.06445,25091.83203,33860.20703,24185.63672,36310.42188,25919.08203,27610.26758,21843.11914,29283.82227,21365.13477,27850.62109,21679.10352,29861.14844,24245.08789,21218.64648,24637.05078,13527.18164,15779.06934,26806.89844,25016.54102,14382.81543
Q8BKH7,25368.40039,34577.71094,22454.39063,22496.30273,51202.56641,30194.6582,19137.875,29401.59766,32851.78125,35993.23047,39100.48828,112835.9219,31290.44336,43455.44922,105221.7188,33119.74219,27312.6875,37768.12891,138666.5938,21281.77344,31927.54297,24533.20313,31353.3457,27943.61914,109153.8828,64973.21094,23528.32422,28734.88086,23780.89844,36084.73438,18160.20508,37558,23321.49609,33756.51172,26562.32813,32902.39844,22342.42773,20777.63477,18656.45703,26735.36719,34554.26563,19833.29297,23453.29102,26222.63281,39125.17969,28986.13281,21652.83594,31578.73438,24598.54883,13537.05762
Q8BKJ9,26874.44336,23144.45117,24647.19922,18469.48828,28194.79297,33817.39453,25329.85938,25946.04688,33215.11328,20029.10352,77191.71094,60145.85938,74984.03906,43116.00781,68008.46875,76632.66406,75074.20313,75385.60938,89625.40625,68857.73438,67171.45313,73532.46875,69156.33594,68682.07813,63979.85547,28091.09766,59664.29297,70649.64063,72129.3125,77940.61719,53413.29297,50905.21094,42545.46094,59446.11328,51599.76953,78164.53906,57130.45313,31627.05469,60518.23438,61211.90234,19133.42188,38435.50781,23594.9082,38846.3125,64479.45703,41976.6875,43752.04297,33887.63672,50390.55859,54328.07031
Q8BKS9,140627.4375,168161.2344,101362.3125,41690.00781,165209.6719,167831.1875,162570.8438,96222.625,95647.1875,72339.02344,133541.0781,111155.25,162637.9219,128119.8516,128458.7266,182812.75,149338.7031,176130.2188,156172.9063,145640.875,129676.3828,196553.2031,141490.7031,127252,140553.6563,123014.6094,147505.0156,184736.0313,143702.9844,145961.2344,139364.9844,148507.25,111298.0391,18353.70898,43131.6875,182763.6875,120576.0078,132707.2031,118933.7344,113454.1563,105966.5,72103.47656,103937.8359,84648.55469,105598.8281,120876.2344,90832.71094,106886.5547,92430.19531,125190.3203
Q8BKT7,41743.50391,43467.11328,33398.49219,28856.83789,41054.54688,55503.35156,58489.72266,54912.1875,26539.6875,53534.67969,48396.51172,56586.29688,53053.90625,51174.07813,49027.24219,53554.92578,60780.30859,57763.0625,64066.27734,44806.60156,28210.22852,57841.27734,24318.33008,52768.57031,46397.13281,28808.29297,52774.81641,69624.01563,58250.22656,40175.60547,38856.50781,23695.03516,38957.48047,18286.48438,33061.40234,41849.01953,61231.24609,59920.09766,42130.94531,44424.9375,60904.26563,78149.25,55027.95703,70578.13281,42721.79688,74333.28125,75658.78906,61226.71094,70105.24219,41193.16016
Q8BKX1,37913.10938,33070.38672,25745.94531,21585.55469,36772.19141,34899.19531,20385.07422,28779.24805,46865.14453,43724.08594,31771.26172,33800.51953,27391.4668,33263.53906,19522.25977,47347.07813,22412.42383,19840.0332,21587.25195,28955.30078,32457.9707,27408.69141,22293.83008,31225.5,17309.08398,33934.89063,35196.55469,41069.69531,21037.01563,22188.76758,27772.39453,22888.75391,30478.07031,25478.00586,37577.04688,19732.42969,20696.11523,17950.55273,30338.49023,17256.73633,54942.68359,48817.45703,40893.01172,60351.44531,57158.51953,50908.74219,44164.25781,26312.19531,45485.42969,48488.73438
Q8BKX6,30507.19727,28137.2793,26043.26953,43883.66016,25737.11523,53370.16406,28301.67773,25574.16992,30631.37109,21644.2207,28345.22656,35946.91016,28664.91211,25489.88281,28709.36328,31577.39844,33514.22656,22462.67578,31545.9375,25348.62109,30283.80859,27591.38477,20244.1543,28952.31445,12797.39258,25603.97461,31153.13477,53734.17969,18368.97852,35066.01563,36225.09766,19017.05078,19592.52344,33995.0625,35208.51563,30709.3457,17056.64648,25144.16602,22170.96875,37456.27344,35558.72656,23304.06641,22806.77344,28453.39648,23746.85742,55221.66797,34094.67188,23516.83398,28120.71289,16358.45996
Q8BKZ9,84044.94531,86649.42969,91521.25,100127.375,83767.28125,61539.55469,65773.3125,66296.07813,76611.08594,60323.68359,17847.25977,22262.06641,27699.75391,64014.46094,19694.63867,22901.81445,21081.46484,23050.8418,50536.69922,34863.17969,23136.57422,43774.40625,26451.91992,21654.24023,42076.67188,40349.13281,34979.33984,38257.35938,51507.41406,21783.50977,27275.30469,58056.82813,76464.05469,21463.70117,43156.64063,58793.86719,43324.05469,83191.50781,34362.99609,43917.78906,75051.07813,66077.49219,70439.14063,73254.1875,45172.09766,64737.54688,60487.71875,110404.6484,70856.08594,50414.3125
Q8BL66,68050.55469,33162.92188,46348.24219,26465.70313,37262.1875,126487.3125,124796.3672,94765.10156,98905.25,114386.2813,47377.28906,81998.22656,22388.62891,20842.97852,81950.10938,29475.39063,26731.35547,26162.79492,33683.75391,23608.46484,75989.69531,83962.53906,86355.51563,97006.25781,95919.95313,100602.7969,82416.88281,84852.03125,92209.64063,76770.77344,76363.74219,58836.20703,93703.89844,71814.74219,26819.625,67856.23438,71623.10938,61100.89063,69858.85938,78863.22656,112174.9219,112968.4688,118592.6953,131548.1875,84550.80469,100363.8125,88028.78906,120091.7422,94194.02344,80129.22656
Q8BL74,54660.88281,29500.76953,22271.81055,26823.40039,32426.03906,125402.1875,31196.76172,25728.88086,29613.7793,32102.58398,25704.86133,26365.26367,45412.72656,24680.08398,32292.2832,52011.80859,28593.45117,179452.8281,15484.80664,26716.12891,33296.5625,186207.75,18915.67188,26400.30078,26385.57617,89600.64063,42549.70703,28823.7793,26917.93164,34713.21875,28435.68555,24351.33789,26890.04688,25597.24023,15779.39258,30518.25,67046.71094,17830.24414,84358.53125,19336.28711,32670.08789,29141.69531,29218.81445,20027.81836,23689.19336,105723.4375,19452.19531,20647.66016,94312.39844,109905.8594
Q8BL80,35831.21094,37028.08984,22144.29688,30864.44336,22360.74805,32127.29297,23274.47656,38348.48438,21162.51758,21772.2793,24025.0332,15041.94238,37951.19922,18014.98047,26126.4668,33656.86719,28146.18945,27642.90234,24984.54688,21090.41406,23033.53711,19741.95313,33824.01172,21540.02734,26408.62695,41743.44922,20440.88477,45042.80859,23453.22852,18305.59375,35682.77344,37640.12109,33739.91406,21271.68945,30662.44922,19371.56055,20639.10352,16385.27734,20877.90625,15664.625,22743.06055,22439.7168,21521.22656,32064.00586,23176.38867,39759.30859,53493.21875,23233.69531,11954.45215,43423.31641
Q8BL97,117946.1484,34313.51172,72644.36719,72077.17188,117139.0078,149106.5,175858.4531,97658.28125,169788.2188,164766.2188,204716.875,224592.2969,278829.8438,256693.0313,196848.8906,208177.6563,221538.8594,237327.4844,264519.375,183999.4219,209227.25,249905.0781,236843.5313,297512.0625,156108.7188,264868.25,216710.9219,323019.9688,238835.1875,320195.875,148739.1094,183933.5156,168544.0625,200717.2656,151958.7031,203362.9688,234409.0625,244826.4063,240849.6406,181444.6094,119515.6797,137657.2188,142025.0156,191026.7344,165205.5156,144062.7031,158177.9219,128110.1953,145191.2031,174339.625
Q8BLF1,82631.15625,63821.66406,64883.50781,73948.35938,61763.62109,82859.6875,45750.16016,59789.56641,56129.22266,41079.82031,63160.14063,29656.13281,64140.26172,46215.21875,50252.34375,72246.32031,54018.16797,73071.5625,69228.05469,44552.24609,78339.89844,69393.17969,62204.49609,58869.625,54521.19141,47080.79297,42728.09375,30390.37695,63453.53906,45408.52344,86945.60156,63166.11328,96006.85938,69897.84375,45636.98047,86011.53125,71582.6875,78402.17188,74436.34375,74162.78125,126091.1094,109144.0703,145912.8125,109876.2188,75691.00781,152952.7813,130279.5391,171284.8281,153338.0781,84318.94531
