pid,PCC_1,PCC_2,PCC_3,PCC_4,PCC_5,CAF_1,CAF_2,CAF_3,CAF_4,CAF_5,T4_1,T4_2,T4_3,T4_4,T4_5,T8_1,T8_2,T8_3,T8_4,T8_5,Treg_1,Treg_2,Treg_3,Treg_4,Treg_5,B_1,B_2,B_3,B_4,B_5,NEU_1,NEU_2,NEU_3,NEU_4,NEU_5,MO_1,MO_2,MO_3,MO_4,MO_5,MAC_1,MAC_2,MAC_3,MAC_4,MAC_5,DC_1,DC_2,DC_3,DC_4,DC_5
A0A0B4J1G0,38375.74609,35378.87109,25351.25195,25669.93164,40010.83594,25178.24609,21288.38672,27561.34375,28484.37305,19382.74219,32642.1543,26676.91602,27368.87891,50724.19141,26009.46289,27296.73242,34964.54297,21002.5293,23443.92969,24347.86133,35295.55078,33220.69141,27609.93945,41261.75781,20171.35352,34950.125,37639.05078,44655.14844,18586.25781,27484.02148,31983.31055,20205.54297,22022.46289,26033.08008,32959.78125,22330.03906,23012.16992,23362.06055,30189.22852,20851.35742,69099.39844,26208.58008,100399.1094,32766.33203,25982.08789,53581.55469,9901.633789,25927.0332,62469.29297,27732.86133
A0A0G2JDV3,29394.19336,30507.64063,17020.91797,24542.5625,18977.95703,27285.81836,24259.80469,26767.95898,24147.79297,18611.32617,57974.875,25794.22266,68322.07813,66936.17188,77636.20313,41336.72266,51185.07031,67069.57813,62058.16016,94192.52344,78628.5625,72997.79688,67829.32813,80572.52344,84885.57813,48178.6875,62024.57031,36313.0625,78997.625,81518.41406,20916.68359,15661.19824,33510.4375,36766.98828,41904.9375,45998.79297,74609.25781,37763.68359,44574.84375,19727.43359,26852.24805,42128.27344,31877.16211,34977.92969,47204.60156,46292.75781,40002.76953,40428.45313,42217.14844,14028.25293
A1IGU4,28660.80078,48778.51953,24358.19727,30730.97266,54370.85938,35358.20703,32398.76367,24890.37109,19608.61523,25578.86914,31179.79297,23479.47656,23122.36914,22529.17773,20048.77344,51936.25781,31635.69141,24889.36719,22163.08594,21283.89844,29898.04492,26072.98438,26741.76563,23704.40234,23388.94727,24658.7207,25550.25977,41741.16016,24700.01172,35031.28906,31784.60156,14506.6582,23903.95898,17935.13281,27301.58789,99709.9375,109027.5391,17925.07031,112591.8281,106360.9063,70783.99219,79900.52344,19770.60742,74765.57031,94858.10938,12542.95508,13291.86133,30535.14063,18036.25,18126.5625
A1L314,32349.94922,29583.6875,28605.04102,36567.89453,27976.62891,36151.30078,26701.6875,26320.89453,30651.08008,32086.99023,24006.98438,26951.22656,32273.16406,34951.57813,14982.41113,25042.76563,30166.74609,22505.36133,20734.81445,22315.91797,43048.42969,34523.80859,16477.74414,26947.00586,20559.82617,27734.47461,41806.96484,37423.57813,22780.45117,38568.13281,84111.41406,18615.0293,29615.69727,57316.5625,27937.7832,171879.8438,172395.0781,103314.8906,105474.7891,149569.2969,122876.6094,135040.0625,129479.375,90158.89063,145922.2656,151374.6094,194448.7969,181499.7813,170220.4375,199727.5313
A2A432,42537.72656,27548.375,16654.06055,31382.64453,31345.3457,40026.67969,48903.20703,53186.42969,45422.93359,71648.58594,49130.34375,58162.73047,62894.78906,112897.3984,69687.375,35731.98438,54262.35156,48456.62891,44854.55078,61139.07031,57026.58203,58748.25781,54862.98438,48158.08984,60068.37891,83433.27344,60144.78516,38218.46094,74352.35156,66283.98438,42026.30469,13632.30762,56705.63281,50760.65234,33514.95703,61781.95703,45524.35547,47722.88672,55056.15234,56132.26563,45161.14063,70895.15625,36453.83203,28487.80078,66876.64844,44948.60938,47706.51563,52810.79297,55878.07813,60205.68359
A2A4P0,24847.41406,20505.98047,32781.28125,38195.82813,33819.98828,54410.30078,37018.15234,21743.81641,27154.77148,66806.47656,71023.30469,63574.07813,70768.46094,33262.72656,72382.36719,106280.9219,84296.21094,64758.00391,88751.4375,73877.8125,33460.89844,91588.0625,66553.82813,18648.57813,68293.27344,32696.48828,28645.9707,45964.41406,88019.13281,74562.21875,75154.44531,20571.92578,16711.83594,79743.59375,32275.97852,83427.42969,63569.28906,56617.23828,56492.71094,28553.63477,65499.40234,23570.32422,23840.55273,19526.69922,20797.74023,78719.78125,59073.69922,44416.36328,45915.1875,22866.40234
A2A5R2,32399.23438,47464.37109,50324.67969,91208.64063,94175.09375,69964.78125,78250.57031,62805.96094,52260.5,69633.5,25362.41406,31138.14648,32132.96484,29728.32422,53072.07422,34463.11328,25053.38086,57764.85938,29274.10547,78325.71094,50622.02734,25809.38477,60556.37109,16751.32031,65813.58594,78427.57031,61269.58984,118374.6484,86474.21875,71449.375,86259.32813,62393.27344,90650.96094,75286.01563,34586.78516,72146.19531,67819.19531,66622.92969,25896.7832,66462.90625,57225.32422,76594.27344,81600.25781,87469.15625,87621.9375,71744.32813,57318.19141,89194.30469,63446.66016,93800.45313
A2A6T1,32364.36523,23857.35742,21551.42188,22531.69336,39107.05469,22799.32813,23158.34766,14706.00879,33580.42188,29536.77148,35524.30859,24038.74414,27557.53516,27268.43555,24542.49805,24410.82617,23631.99609,25375.22656,25129.57813,17908.5957,22890.78125,21813.91406,40610.51172,41113.15625,29106.52148,33988.72656,24673.98242,40821.27734,33124.44922,35626.72266,24255.01172,26184.50977,18621.65039,24135.83984,35913.63672,23066.57227,24604.59766,29300.20313,20581.71875,27344.66406,24495.33203,17342.54883,20087.65625,27682.94922,39677.07813,13224.78906,18650.53906,33559.22656,25728.88086,21841.06836
A2A863,180604.0938,167120.6719,157719.3594,167917.0781,182539.8438,83807.82813,62106.21484,22898.06055,17111.39453,19419.50977,28461.01563,34754.27344,26771.71094,24785.48828,68040.66406,43781.29297,40558.22266,12867.75781,30403.53711,22302.24805,34618.21484,36674.77344,27527.4043,23670.39258,18958.97266,39325.76953,23269.9707,46768.49609,58140.32031,36870.28125,30431.04297,129726.2813,97795.23438,68661.64844,56904.19922,21046.14063,18623.60742,26711.57227,27009.13672,19908.24414,25276.50391,22744.88086,25419.12891,22203.77734,26503.72852,19585.62109,22810.19727,103624.4609,20262.08008,29684.96484
A2A8L1,36657.73438,25739.46289,20098.91992,25784.33594,39938.58984,25547.20313,31939.5332,19095.78125,30399.03516,32841.59766,25831.83008,20418.60156,18314.66016,18637.01953,24573.14648,37791.62891,30850.00195,31270.49023,46427.9375,20086.71289,45706.14844,27894.23242,34810.44531,35866.09375,20982.17188,41961.90234,28461.37305,33835.08203,33454.66016,30149.10352,50973.73438,23619.2207,30758.55273,30216.94141,20641.58594,30370.37305,27653.32031,23039.75,27002.46094,23382.8418,16394.06445,22420.08594,37129.09766,18713.75586,30181.52734,14036.2207,15686.71777,27310.79297,17928.25781,9318.336914
A2A8U2,30755.84766,24842.71875,32850.69531,63303.92969,23869.82031,76054.22656,22248.76563,75497.11719,23772.78906,77348.11719,31420.33984,20659.57813,22916.2168,33562.33594,26779.83398,37682.41797,39120.44922,62251.01953,36504.66406,14989.39453,22073.64844,28060.17773,30264.95703,28066.03906,22706.97852,28812.63672,24463.875,25173.35352,33442.80859,21814.04297,38207.19531,21281.11328,35976.12891,24176.27148,48108.76953,21578.69141,14073.625,24853.74023,21769.27148,35744.83594,25889.54297,27134.65625,18931.38477,15593.33887,16518.29297,18333.51953,14131.8623,20806.22266,22746.20313,19667.79883
A2A8Z1,25477.09766,93175.42188,106985.0938,79864.39844,96828.79688,118447.9141,75391.99219,96629.9375,105273.0703,51179.28516,45639.15234,28343.80273,57645.53906,36924.33203,50161.17578,42255.36719,44705.80078,50294.21875,29353.26367,45436.11719,53170.71484,22952.73828,46905.15625,51293.52734,44220.14063,34515.9375,41508.82031,51669.57031,23303.29688,57536.85156,119079.1094,91396.95313,104585.8281,92127.27344,84808.74219,74567.84375,89819.10938,70432.25,69107.98438,76636.40625,91077.53906,120651.5938,101278.4609,107385.5625,75821.00781,70028.26563,71215.21094,65339.05469,77277.07813,63059.01953
A2AAY5,86072.61719,67785.21875,81725.0625,74489.11719,96976.125,88021.92188,76164.80469,75168.65625,63113.35547,45284.09375,25792.29688,39793.75391,20571.35352,24838.5957,21050.50977,37735.11328,37531.89063,34446.48438,22180.13086,21030.18945,20310.27539,21570.54883,33168.73047,28763.76758,20938.58203,22539.90234,35665.27344,28244.32031,30297.625,26002.27734,22370.41797,60802.65234,59045.35547,29691.91211,34038.03516,15573.50879,23559.49805,20816.41797,37472.24609,39344.20703,72499.875,60486.23828,79411.875,62467.76563,63566.38672,82858.70313,79959.38281,73976.625,85585.82031,73288.86719
A2AB59,30424.125,27665.77148,81649.46875,39883.23828,41499.71094,20974.08594,22499.69336,24641.5625,18453.20898,19409.3457,43851.44531,41930.29297,28820.38867,24420.12109,60779.82813,41630.05469,72642.45313,58583.36328,29364.61523,73389.99219,22368.48047,26275.17383,65538.85938,58471.98047,63689.24609,76859.63281,60374.94531,48769.23438,46292.11719,73355.35938,93121.35938,82592.92969,76617.66406,78435.14063,26912.80859,53796.51953,21449.57422,60458.49609,55601.17969,20087.24414,20329.1875,24339.07617,25689.99805,60993.54688,63309.78906,60883.05078,55847.98047,130400.5078,71003.96875,73778.44531
A2ABV5,29759.90039,24926.8418,23884.97266,26119.45703,35367.53125,20234.54883,30103.59961,20972.49219,26348.60742,27145.00781,24417.81445,31442.7793,26543.91602,30794.82617,20054.83203,37732.64453,36615.23047,24528.43555,22163.1582,14579.51855,39272.77344,25230.44531,29923.03711,17804.52148,28258.83008,33976.52734,21708.85938,46631.27734,19026.82031,25077.62109,48034.41016,15278.34277,38159.16016,32201.43359,28370.1582,18955.80273,26926.74219,25335.50391,24687.54102,30165.41016,28079.45703,21873.36133,11665.72852,18396.18555,16290.72461,22633.5918,20961.21094,21016.5,17720.80273,33624.11328
A2ACP1,38286.42969,25543.62305,94445.78125,24280.98242,34033.17578,27574.68359,26275.40039,32224.62305,28001.73633,28312.00781,20026.61328,31693.85938,31592.13867,44907.92188,33198.21094,84053.05469,25683.74805,27913.43359,27376.85742,29984.75586,29865.68945,20438.69531,29407.75977,27949.78906,20142.33203,26371.87109,20135.84961,56299.82422,27810.05664,18952.21875,20009.79492,34956.24609,30469.30859,32793.41797,31962.04883,40511.57422,18262.67578,27225.57031,30776.61328,23535.04297,28911.56055,16582.55664,25119.58008,24808.86328,24878.36328,127323.0156,13738.64941,39557.23828,82662.73438,337921.1875
A2ADA5,69069.98438,317985.75,31100.39844,24456.32422,22963.19531,22878.01367,19680.0625,24106.15039,19714.85352,14505.01855,27041.18555,23052.33398,33404.76172,21202.18555,25233.38086,30892.97852,20552.67773,32114.21484,25131.73828,26093.74219,26748.36133,30599.31445,21180.5293,26578.96094,25186.23633,38497.88281,43198.34375,19707.07617,31859.88867,30784.83398,31132.58789,26452.70703,24661.19922,20852.63867,44605.87891,26004.32227,21540.78125,19004.44531,26697.98047,13827.61035,21674.60352,32738.33789,18760.33984,20240.25977,31168.5625,21520.2168,18702.77539,22306.84766,16732.53906,18982.66211
A2ADY9,27725.67578,18047.31836,28766.48633,31123.7207,29059.76758,20730.29102,18647.37109,23211.33008,27600.63281,19668.25391,90394.73438,101255.8359,110846.4844,51547.16406,96776.32031,103937.2891,15386.01758,22724.86133,50232.85156,94538.35156,34803.51953,22891.62891,18906.88477,24014.03125,85817.29688,77356.19531,50941.86719,28753.48242,89141.375,91210.8125,28028.19922,62365.35938,70800.55469,30987.30664,27077.12109,125094.1953,119882.5078,100742.2813,116042.2969,126161.8125,103073.9531,103475.9219,111789.8438,90247.02344,124384.0781,114276.2422,123304.1172,86862.30469,98621.25781,144278.0781
A2AF47,39288.69141,45534.16406,57553.24609,45687.26953,34299.45313,37136.41016,28825.13281,56308.57031,74618.33594,26566.50781,89311.24219,77273.80469,83873.89063,82591.1875,94201.99219,88346.96094,107777.8359,98806.71094,105928.8203,94358.67188,37949.11719,74877.44531,79415.44531,59632.43359,85567.49219,90196.92188,102396.4688,93382.10938,118379.8125,98712.82813,92318.20313,68560.32813,91817.44531,100739.3516,137575.5156,96503.54688,82042.14844,70901.90625,78003.5,73420.85156,82382.13281,98576.67969,95158.3125,115149.4922,86776.45313,71758.74219,77841.14063,103139.3828,89740.29688,81748.94531
A2AGH6,34250.26563,24014.69727,35836.68359,28775.10156,28036.68555,36415.875,27814.00781,16298.94238,27573.02344,38070.52344,29575.04492,25640,36140.90625,29850.53125,22809.6543,32446.49414,33863.00391,23109.83984,48648.58984,20825.81836,27836.02539,28399.71094,24707.98047,17763.11719,22931.87109,35847.17578,27426.07227,61560.02344,35659.02734,33361.84375,19449.75195,27688.56836,22030.12109,26705.85156,26955.18359,30101.19141,24828.87891,24754.42578,20605.55469,17819.55664,29295.67188,28340.63672,20971.8125,17856.57031,17097.98438,28204.52344,40954.20313,27965.88672,19072.49414,21607.92578
A2AGL3,43862.11328,35003.1875,29774.6582,21416.37891,34433.66797,39716.96484,15231.5625,20566.06445,29659.23047,36550.49219,28838.95117,38097.16016,25998.13477,32376.66992,386032.0313,41252.10156,383870.0938,426083.625,42509.44922,17846.6582,26118.92188,40161.79688,24752.64258,392509.1875,21945.16602,502840.4375,35326.82813,37154.43359,18045.09961,693484.1875,33827.09766,339825.6875,27004.38867,33465.875,23636.21289,31081.30469,19115.25586,352307,301512.9375,360704.25,26378.86133,24334.04102,21524.83984,15468.16113,39462.43359,19304.9082,26031.13477,20249.60156,17538.31836,327411.5
A2AGT5,30749.2207,38232.20703,24832.29297,27609.41016,34559.70313,75376.9375,73909.46094,63911.63281,58823.10156,29840.56836,45066.54688,39618.73828,52577.55469,43405.46484,57856.26953,58255.89063,70342.35938,49893.41016,45006.19922,60708.83594,54409.47266,71250.34375,67426.09375,51549.21094,63376.07031,26132.99609,34014.64063,36375.71875,55802.58984,49449.03125,78388.79688,48751.73438,48269.73438,40543.45313,24379.83008,58189,47921.88672,75484.24219,44404.88672,48034.85547,57829.04297,81047.84375,32301.76367,104795.3828,49086.68359,68487.125,72015.53906,83118.50781,49352.10938,43993.01563
A2AIG8,23741.44336,24965.82422,23190.01172,27158.52344,30915.08203,30702.54688,19163.89063,21029.9668,27316.89453,17158.37891,17649.92188,34018.30859,33186.05469,24904.47461,34171.47656,38895.05859,20563.52344,20060.70508,23813.24219,25428.8418,30436.81836,19223.95508,20215.20313,34742.03125,44876.25781,29940.48828,30430.76172,33805.79297,38411.07422,37412.96875,17214.55859,20586.57617,25500.24805,23542.74609,32298.66797,31065.79688,23058.30859,21862.82227,23731.02539,21571.46094,19073.89258,21982.48047,30713.20313,17675.99414,28656.00781,50789.18359,37038.78516,36737.25391,45970.52344,22816.0625
A2AIV2,29154.31641,64303.75,52317.98047,53999.92188,80013.84375,62562.52344,92798.86719,60687.48828,45250.66797,60542.12109,69138.96094,54500.87109,58801.13672,72796.5625,92624.08594,77560.39063,74846.17188,50561.89453,78687.10938,64141.44922,32026.29883,65126.20703,60996.08594,53529.30078,85457.03906,50584.42969,30043.64063,64710.16406,58703.1875,68148.51563,37747.58594,61960.97266,38233.92578,57210.12109,24359.64648,60673.32813,60690.73828,78267.01563,58907.19141,61413.33203,59222.23438,69371.16406,62799.52734,78869.89844,52077.89844,68141.66406,62502.75,60723.92578,49444.39063,66900.875
A2AIV8,30789.85938,25881.99609,31260.05273,29328.16602,37957.09375,32751.45508,23728.38867,15591.91699,14299.86426,24799.97461,24916.28125,29127.34766,28799.91602,23325.68945,20344.16406,29215.85938,16412.69336,22412.20313,24585.95117,35813.82813,26770.9668,37084.28125,22440.29492,25869.88672,32942.89844,33909.84375,26762.98828,36623.48438,28826.94336,30378.74609,112006.5703,81447.96094,108832.9766,113575.7188,44607.85547,108194.9922,92657.14844,101281.2734,82161.65625,101992.2266,108347.5859,113208.5859,88086.17969,110154.8984,124923.9688,94832.15625,105197.9375,94010.14063,108366.2109,81306.59375
A2AJ15,61417.35156,25697.65625,26419.75,49644.59375,47995.65625,62406.80469,40888.47266,70113.30469,81902.78125,44080.89844,20754.86133,32792.67969,31074.19727,31090.69531,26481.73242,35979.78906,22299.38672,33080.26953,22671.88086,31791.11523,28377.37891,48840.17969,34664.97266,31269.99414,14012.52539,30492.64063,26174.76563,29377.52734,19739.39648,19601.07422,30064.75977,17327.08008,23599.99219,28832.67969,36125.66797,48545.33984,52205.39453,68014.75781,66640.72656,31803.34961,22064.45703,33986.27734,61669.91016,21485.86133,27898.08594,42317.95703,42386.35156,20133.42578,20486.34961,18166.56836
A2AJ88,45991.55469,25719.24023,21106.17383,24689.12305,33783.76563,17608.08594,23252.76367,20731.70313,27791.95313,22802.00977,28048.04883,36723.92188,30852.53125,36825.14453,34834.56641,26331.97852,27059.89063,20758.18164,28840.40039,26548.79297,27034.78711,30336.86523,38753.3125,21227.80664,17267.39453,24198.20703,26393.33789,34181.86719,28755.1543,36714.52734,34906.90234,33046.08594,24966.20508,35180.89844,25990.07617,21627.47461,22557.29688,32583.02148,14712.93164,34951.97266,13689.00781,15721.99219,26235.9668,23320.67969,38901.17578,21596.71484,32025.00781,36284.94141,31225.95508,26003.35938
A2AJI0,30265.85742,32220.51172,28187.54297,32939.9375,41619.48828,85587.40625,46179.48828,45387.99609,64390.56641,80487.14063,20385.6543,33487.85156,26947.36133,31607.63867,36898.58984,35935.17578,23235.55469,26152.66211,53020.66797,38169.60547,43351.30078,16883.29883,23720.81445,40974.62109,17223.23047,42081.09766,26443.31836,40121.41016,33286.28516,32255.58984,61085.26172,55792.55859,34094.89453,57869.42578,34488.88672,51656.48828,63858,25802.86914,66784.14063,93765.98438,73845.875,73669.86719,53055.09766,75263.61719,85752.3125,63660.53906,80547.28125,59771.03516,68076.83594,75515.98438
A2AJN7,26734.04297,27164.91406,28528.12891,23593.20703,30353.875,24488.14453,27531.95313,23946.59766,28871.16797,28198.0918,21861.16016,40707.80469,19434.97266,26227.03711,35713.54297,34544.74219,25088.39844,33304.99219,20844.70117,57273.57422,28286.04102,24815.73438,31196.71875,33997.80469,18427.52539,23664.66797,23945.45703,26842.29102,33381.01172,31431.16211,28677.06055,32278.32617,21527.04492,37488.15234,24157.66016,27867.58203,15327.7793,25460.07617,20066.72656,17499.31445,23963.33398,16433.43945,23757.91211,18499.31445,23934.91797,13001.12109,23926.61328,21623.22852,16132.58203,19325.75781
A2AKG8,38740.12109,26488.8418,33200.66797,24326.88281,35639.25391,25172.38867,32085.27148,23808.83398,22432.27148,24768.58594,23404.86133,46882.40234,31511.71484,35622.79297,21859.51367,35011.60938,20590.23633,27721.05664,37039.76563,22644.93555,31943.39648,32985.80469,26158.64453,28814.54102,19894.41797,44217.42188,23543.60156,49243.78906,31352.74414,24959.73633,42639.27344,33879.30469,21519.47656,17602.41797,26446.84961,29083.76953,21847.39258,21537.90625,30957.08789,24168.74414,24995.07031,22187.6543,19453.37891,22714.54492,39584.39063,21819.4082,23876.25977,31156.42969,12576.9541,14004.51465
A2AKM2,29395.49609,19199.39258,22618.93359,18928.66797,29750.93164,51057.60547,29529.87891,29298.86719,58494.05469,64323.26172,32062.77539,36362.16016,39649.02344,30482.46289,21357.84961,27603.49805,15237.36328,37502.60156,31207.21875,23781.7793,35641.07031,26751.93359,22629.55273,18777.49805,34544.24219,28295.78516,19652.91797,42296.95313,28237.44922,23556.50781,86380.75,17515.86328,83318.64063,81783.32031,51117.00781,21527.45898,51277.28906,39857.04297,14969.38281,85714,80805.9375,76527.16406,74815.60156,16665.85352,86700.42188,108539.5547,83771.27344,75372.65625,85754.125,21186.12891
A2AKQ0,68563.22656,54519.5,101898.5547,71695.11719,39820.62109,44702.9375,52191.45313,34277.375,22828.70508,12131.30566,29068.68164,33367.70703,21956.64453,30341.03711,25945.39453,32635.05664,20789.93164,27292.99805,27023.47852,16999.80078,36144.32031,26481.75,22455.74219,32446.32227,19367.69336,47273.92578,33255.71484,26408.92383,25665.38477,16721.16211,20381.80078,29596.65625,37629.42188,24823.80664,30990.66602,32556.81836,24642.60547,23543.38477,17827.14453,36655.16406,23539.58789,18114.64453,30901.96484,30127.94531,35887.48438,16665.53516,22314.33984,41105.95313,11555.75977,22487.7832
A2AL36,33273.32813,36887.83203,20261.75977,23230.60938,31462.80078,24081.24023,22286.21289,27845.52148,34504.32422,20962.58203,26476.67383,29704.84961,26102.9043,24610.87695,24184.53516,27738.58008,65546.39844,24383.66602,37103.43359,51838.46875,30773.62305,29601.70313,22150.13867,50056.07422,16255.31152,29979.74023,15874.11621,40852.86328,33405.40234,30236.96289,33466.27344,35867.46875,42735.29688,24293.89063,29174.0957,19537.88086,20438.91211,17344.99219,18722.04688,29515.51563,27422.73633,31278.2832,24660.85742,25031.06445,25863.67969,18259.6582,19176.27148,27632.6543,17960.43945,22627.89258
A2ALW5,36697.61719,27232.39063,22064.86719,30227.88867,34759.51172,40996.83984,36247.58984,47291.24219,20023.78125,53570.68359,27878.96875,31068.50781,41619.92969,36122.63281,15521.94629,26772.06445,33584.32813,37247.92969,21751.0332,21560.16992,38513.94531,43905.16016,24024.46289,39388.07813,38112.29688,25644.44141,24702.33008,31037.98438,22973.65625,18855.83594,29863.00391,26464.26758,38596.49609,29089.88281,45230.51172,23605.5625,18664.48828,23453.64844,20359.40625,19880.56055,20941.28125,31307.92578,18724.50977,36722.24609,14908.76855,20657.09375,25436.12109,25529.81445,19264.6875,23005.66016
A2AN08,68380.36719,103287.1641,99871.02344,74046.58594,98394.39063,107983.3594,101556.2734,90623.64063,99397.47656,82261.53906,78138.29688,75108.15625,87291.94531,77943.29688,90520.90625,91275.95313,80186.35156,83384.09375,62331.89063,81312.07813,64776.84375,85280.85938,86253.28125,64157.35156,91003.88281,85379.67969,87044.17188,27274.85352,83420.03906,83073.6875,106559.0781,95997.72656,112623.9922,96809.46875,70076.60938,93879.97656,92022.82813,85394.80469,66584.36719,84880.30469,97612.84375,102254.4219,102021.2188,107643.4063,88300.375,106306.6406,94739.67188,112071.3047,101721.0156,95932.13281
A2APV2,36728.17188,29813.6543,38374.93359,29699.11523,31110.69922,63940.23828,24085.58594,42731.0625,57806.80078,47824.69922,26499.49023,36563.03516,33121.40625,29040.08398,26721.9043,31265.61133,39290.64063,21137.58789,21470.27148,24612.76563,19769.64063,35225.16016,28491.03906,41473.21875,27911.14648,23570.69727,29385.72266,21866.08984,30660.80664,28849.93359,33928.83594,47589.82031,78729.77344,52058.82813,44881.53906,24651.22461,25409.98828,24014.18945,25134.99414,25358.54102,40126.02344,43125.38672,23192.69531,36338.89844,21907.4375,44612.75,42782.86719,41447.70313,39044.54297,48053.14844
A2AQ19,31817.39453,26681.625,27736.71094,27567.50195,51524.67969,23328.44922,64407.08203,22446.125,21367,26534.61719,77546.54688,84496.9375,71817.875,88618.125,82487.1875,68324.78906,75538.85156,74652.07813,70555.08594,71181.04688,70040.76563,72314.83594,66812.92969,69773.01563,77528.30469,86348.4375,77686.3125,64033.21094,81802.67969,84815.02344,26944.29883,22393.29102,31278.71875,30189.28906,35540.04688,71386.77344,64386.90625,30523.93945,75358.30469,76187.26563,56198.5,69819.71094,29373.44922,29696.89844,61405.29688,54408.64453,57250.5625,77762.35156,87308.21875,68232.98438
A2AR02,33707.5,23661.32031,25580.89844,24249.97656,78017.83594,46331.42578,26816.80469,40193.05469,59958.33203,61990.14063,66630.77344,106551.6094,75199.07031,104237.2813,74495.125,31750.35156,80240.00781,63329.125,26841.47461,60226.30469,67163.10156,66363.86719,64896.67969,112371.7422,59320.92969,94806.32813,45363.96875,54409.04297,65226.80859,85582.3125,25549.65234,22421.50781,34679.25391,38215.70703,43710.73438,56597.21875,69633.59375,76531.41406,71179.72656,74096.92188,35661.21875,23939.75977,48225.17578,68105.64063,54125.50391,52253.52344,80926.53125,65072.5,87417.25,57153.57031
A2ASQ1,108444.8906,86295.03125,95595.99219,95820.33594,51817.94922,32715.03906,25463.22461,69584.07813,14526.58887,14591.0498,27321.42773,20224.14453,24000.39844,22548.54492,19177.37305,28073.98242,21051.06641,24550.87109,23800.30469,28985.04102,30940.96484,23565.32227,20274.58203,20392.73047,16897.75781,30023.64844,42995.16016,41910.5625,34702.32422,35580.73438,24655.9668,77048.46094,30627.28125,24089.23242,27598.73633,28693.82422,32092.78125,15694.71387,19820.08203,21318.58008,26451.9375,22373.61133,31028.13672,23059.40625,26510.38672,17738.875,13265.75586,28957.11914,9052.479492,18311.48828
A2AT37,37226.09766,39467.10156,38831.85938,28129.93359,27571.34766,58837.83984,38613.41406,30029.14648,26492.39648,27670.23438,44471.92188,36024.41406,29383.87891,30421.12891,42631.71875,85543.85156,54639.92969,41741.10547,43242.28125,50766.32422,33159.80859,34923.77344,38975.30469,32994.8125,47464.40234,52325.3125,27710.11914,53014.57031,46067.37891,50773.67188,57238.26172,30669.11719,29208.42383,17670.50391,25792.29688,42271.09766,53048.40234,25003.7793,39532.25,42075.3125,45603.6875,23341.26758,27090.85352,46454.61719,46797.8125,33585.17188,33726.08594,38861.13281,55334.91016,30915.81836
A2AWA9,34770.70313,22200.12305,39908.1875,18789.72852,27223.82422,26793.09766,33380.70313,29950.14844,52441.24609,49444.35547,22502.50586,23772.96094,30142.00977,32225.2832,26120.00977,42835.84375,20033.08789,23505.14648,35470.73828,35075.19922,32363.5957,25620.49805,35307.68359,38085.14844,41631.59766,25409.09961,33789.61719,44011.66016,40272.14844,39552.79297,25194.73047,26806.08203,38986.69531,38984.60938,32909.75,33055.74219,21150.32227,35082.45703,18063.06055,24653.55469,60696.11328,52583.42969,40435.80469,50327.60938,36615.0625,37464.54297,45933.58594,51626.14063,48871.99219,14303.06836
A2AWP8,32033.16016,34328.30469,54598.69922,43158.89453,26438.47852,19885.49023,20442.88477,32349.58594,24845.36133,36091.4375,33738.86328,42432.24219,25132.36914,38041.82031,17693.9043,24396.87109,29505.50781,45847.55469,24375.60938,29793.20508,38276.20703,21578.2207,42182.22266,25365.56641,20003.76367,40494.03516,20099.92969,44416.07031,34410.86719,29498.27344,23918.80078,21558.375,24893.2168,33172.26172,36893.05078,20779.59961,47080.07813,13496.02832,20875.61719,60470.52734,16951.24609,43364.71094,34072.58984,31218.0293,70126.9375,15801.81348,23071.75586,23779.01367,20578.80664,27250.6875
A2BDX3,34968.37891,21971.58398,27054.95313,38501.625,26425.28516,27552.58203,21902.93555,46287.89453,21036.2793,23053.87305,24643.32227,34920.07813,127982.2109,19386.11133,84801.11719,34123.50781,38095.54688,104393.8125,191249.625,86374.24219,34175.06641,25383.76563,31383.55664,27764.88672,28959.97266,202215.5,34099.35938,41129.89844,28934.12109,122499.6563,31745.73438,32614.58984,26941.39453,107327.9375,30609.06641,105645.4688,123619.4688,28601.88281,117215.8438,134685.9531,21391.9707,109508.4453,77104,110793.4453,15152.95898,21107.73633,100178.8828,19777.39063,113442.3125,103091.2656
A2BE28,42486.49609,43652.60938,49753.10547,44253.21094,61213.27734,55733.17578,31518.88086,27003.67383,48009.23828,58781.00391,46889.90234,38668.41016,45008.07422,43331.16016,42944.94141,69178.375,45408.22266,50802.57813,34869.07813,55556.54297,49511.66797,54476.05078,49321.77734,39807.75,44639.44922,35466.84766,37190.55469,23380.02734,43239.68359,57280.05078,22953.17773,49501.06641,28665.51953,32555.09766,37015.63281,48322.57031,47108.46875,46835.01172,41191.01172,37783.4375,43553.22656,48947.67578,34501.38281,41187.14453,38898.78516,40112.92578,39148.80078,41309.48828,37071.36328,39874.14453
A2BH40,44874.48047,19352.61719,19981.17773,116108.8984,26624.69922,128679.0156,151556.0313,24795.35352,35206.23438,176949.9063,292278.9063,243492.6094,283055.5,222410.1563,210344.7031,291884.6563,231450.9375,249808.625,233343.25,280725.5,280755.2188,245523.9531,249896.8281,230525.9219,222145.0938,279110.1563,266285.6875,273331.6875,253683.9844,248959.3125,18247.43359,35186.01563,33190.53125,17526.42578,32621.05859,268637.1563,192772.2188,193545.4844,236156.9063,234824.0781,174480.9688,153700.9844,160379.6875,183968.7813,210187.9219,190584.5313,177679.9063,158101.6094,138386.75,247968.2656
