"pid","gene","genes"
"A0A087WPF7","Auts2","Auts2 Kiaa0442"
"A0A088MLT8","Iqcj-Schip1","Iqcj-Schip1 Iqschfp Schip1"
"A0A0B4J1F4","Arrdc4","Arrdc4"
"A0A0B4J1G0","Fcgr4","Fcgr4 Fcgr3a"
"A0A0B4J1N3","Gpr15lg","Gpr15lg Gpr15l"
"A0A0G2JDV3","Gbp6","Gbp6 Mpa2l"
"A0A0U1RPR8","Gucy2d","Gucy2d"
"A0A140LI88","Ankrd31","Ankrd31"
"A0A140LIF8","Irgm2","Irgm2 Iigp2"
"A0A1D9BZF0","Gcna","Gcna"
"A0A1W2P872","Nova2","Nova2"
"A0A2R8VHR8","Ddit3","Ddit3"
"A0A494BA31","Slc4a9","Slc4a9 AE4"
"A0A5F8MPU3","C2cd6","C2cd6 Als2cr11 CATSPERT"
"A0A5K7RLP0","Meiosin","Meiosin Bhmg1"
"A0JNT9","Bicdl1","Bicdl1 Bicdr1 Ccdc64"
"A0JNU3","Aspg","Aspg"
"A1A546","Isx","Isx"
"A1A547","Pglyrp3","Pglyrp3 Gm420 Pgrpia"
"A1E960","Odam","Odam Apin"
"A1KXC4","Fcmr","Fcmr Faim3 Toso"
"A1L314","Mpeg1","Mpeg1"
"A1L3P4","Slc9a6","Slc9a6 Nhe6"
"A1Y9I9","Tomt","Tomt Comt2"
"A1Z198","Nlrp1b","Nlrp1b Nalp1b"
"A2A259","Pkd2l1","Pkd2l1 Trpp3"
"A2A432","Cul4b","Cul4b Kiaa0695"
"A2A5K6","Znf335","Znf335 Zfp335"
"A2A5N8","L3mbtl1","L3mbtl1 Kiaa0681 L3mbt L3mbtl"
"A2A5R2","Arfgef2","Arfgef2 Arfgep2 Big2"
"A2A5Z6","Smurf2","Smurf2"
"A2A6C4","Sppl2c","Sppl2c Imp5"
"A2A6M5","Calcoco2","Calcoco2 Ndp52 Ndp52l1"
"A2A6Q5","Cdc27","Cdc27"
"A2A7Q9","Rnf19b","Rnf19b Ibrdc3 Nklam"
"A2A825","Cplane2","Cplane2 Gm723 Rsg1"
"A2A863","Itgb4","Itgb4"
"A2A884","Hivep3","Hivep3 KBP1 Kiaa1555 Krc Rc shn3 Zas3"
"A2A891","Camta1","Camta1 Kiaa0833"
"A2A8L1","Chd5","Chd5 Kiaa0444"
"A2A8L5","Ptprf","Ptprf Lar"
"A2A8U2","Tmem201","Tmem201 D4Ertd429e Net5 Samp1"
"A2A935","Prdm16","Prdm16 Kiaa1675 Mel1"
"A2A974","Cyp4a12b","Cyp4a12b"
"A2A9A2","Dmrta2","Dmrta2 Dmrt5"
"A2A9C3","Szt2","Szt2"
"A2A9F4","Kdf1","Kdf1"
"A2AA28","Mettl23","Mettl23"
"A2AAE1","Bltp1","Bltp1 Fsa Kiaa1109 Kiaa1371"
"A2AAJ9","Obscn","Obscn Gm878"
"A2AAY5","Sh3pxd2b","Sh3pxd2b Fad49 Tks4"
"A2ABV5","Med14","Med14 Crsp2 Gm641 Trap170"
"A2AC93","Dnai2","Dnai2 Dnaic2"
"A2AD83","Frmd7","Frmd7"
"A2AF47","Dock11","Dock11 Ziz2"
"A2AG06","Meioc","Meioc Gm1564"
"A2AGH6","Med12","Med12 Kiaa0192 Mopa Tnrc11 Trap230"
"A2AGL3","Ryr3","Ryr3"
"A2AGT5","Ckap5","Ckap5"
"A2AH22","Ambra1","Ambra1 Kiaa1736"
"A2AHL1","Ano3","Ano3 Tmem16c"
"A2AI05","Ndor1","Ndor1"
"A2AIR5","Grin3a","Grin3a Kiaa1973"
"A2AIV2","Virma","Virma Kiaa1429"
"A2AIV8","Card9","Card9"
"A2AIW0","Entr1","Entr1 Sdccag3"
"A2AJ15","Man1b1","Man1b1"
"A2AJ76","Hmcn2","Hmcn2"
"A2AJ77","Prdm12","Prdm12 Gm998"
"A2AJ88","Pnpla7","Pnpla7"
"A2AJB7","Lcn5","Lcn5 Mep10"
"A2AJK6","Chd7","Chd7"
"A2AJN7","Slc4a11","Slc4a11 BTR1"
"A2AJX4","Malrd1","Malrd1 Diet1 Gm13318"
"A2AKK5","Acnat1","Acnat1"
"A2AKQ0","Slc35d1","Slc35d1"
"A2AKX3","Setx","Setx Als4 Kiaa0625"
"A2AL36","Cntrl","Cntrl Cep1 Cep110"
"A2ALS5","Rap1gap","Rap1gap Kiaa0474 Rap1ga1"
"A2ALU4","Shroom2","Shroom2 Apxl"
"A2ALV5","Shoc1","Shoc1 Zip2"
"A2AM29","Mllt3","Mllt3 Af9"
"A2AMM0","Cavin4","Cavin4 Murc"
"A2AMT1","Bfsp1","Bfsp1"
"A2AN08","Ubr4","Ubr4 Kiaa0462 Zubr1"
"A2ANU3","Syndig1","Syndig1 Tmem90b"
"A2AP18","Plch2","Plch2 Plcl4"
"A2APB8","Tpx2","Tpx2"
"A2APC3","Ttll9","Ttll9"
"A2APF3","Ctcfl","Ctcfl Boris"
"A2APX8","Scn1a","Scn1a"
"A2AQ07","Tubb1","Tubb1"
"A2AQ19","Rtf1","Rtf1"
"A2AQ25","Skt","Skt Etl4 Kiaa1217"
"A2AR95","Ldlrad3","Ldlrad3"
"A2ARA8","Itga8","Itga8"
"A2ARI4","Lgr4","Lgr4 Gpr48"
"A2ARP1","Ppip5k1","Ppip5k1 Hisppd2a Kiaa0377 Vip1"
"A2ARP9","Catsper2","Catsper2"
"A2ARV4","Lrp2","Lrp2"
"A2AS55","Ankrd16","Ankrd16"
"A2AS89","Agmat","Agmat Gdah"
"A2ASI5","Scn3a","Scn3a"
"A2ASQ1","Agrn","Agrn Agrin"
"A2ASS6","Ttn","Ttn"
"A2ASZ8","Slc25a25","Slc25a25 Kiaa1896 Scamc2"
"A2AT37","Upf2","Upf2 RENT2"
"A2AU37","Rad21l1","Rad21l1 Gm14160 Rad21l"
"A2AU72","Armc3","Armc3"
"A2AUC9","Klhl41","Klhl41 Kbtbd10"
"A2AUM9","Cep152","Cep152 Kiaa0912"
"A2AUU0","Mettl8","Mettl8 Tip"
"A2AVA0","Svep1","Svep1"
"A2AVJ5","Prr5l","Prr5l Protor2"
"A2AVZ9","Slc43a3","Slc43a3 Eeg1 Enbt1"
"A2AWL7","Mga","Mga Kiaa4252"
"A2AWP0","Birc7","Birc7 Livin"
"A2AX52","Col6a4","Col6a4 Dvwa"
"A2BDX3","Mocs3","Mocs3 Uba4"
"A2BH40","Arid1a","Arid1a Baf250 Baf250a Osa1 Smarcf1"
"A2CG49","Kalrn","Kalrn"
"A2CG63","Arid4b","Arid4b Sap180"
"A2RST1","Mgst2","Mgst2 Gst2"
"A2RSY6","Trmt1l","Trmt1l"
"A2RT67","Dennd3","Dennd3 Kiaa0870"
"A2RTF1","Catsperb","Catsperb"
"A3FIN4","Atp8b5","Atp8b5 Feta"
"A3KFM7","Chd6","Chd6 Kiaa1335"
"A3KFX0","Nt5c1a","Nt5c1a"
"A3KG59","Pm20d2","Pm20d2 Acy1l2 Gm424"
"A3KGF7","Plcb2","Plcb2"
"A3KGS3","Ralgapa2","Ralgapa2 Kiaa1272"
"A3KGV1","Odf2","Odf2 Odf84"
"A4FUQ5","Fpr-rs4","Fpr-rs4"
"A4Q9E5","Ttll3","Ttll3"
"A4Q9E8","Ttll6","Ttll6"
"A4Q9F0","Ttll7","Ttll7"
"A4Q9F1","Ttll8","Ttll8"
"A4Q9F3","Ttll10","Ttll10"
"A4Q9F4","Ttll11","Ttll11"
"A4QPC6","Btn2a2","Btn2a2"
"A4UUI3","Gbp4","Gbp4"
"A6H5Y3","Mtr","Mtr"
"A6H630","Armt1","Armt1"
"A6H639","Tcte1","Tcte1 D17sil1 Drc5"
"A6H687","Sac3d1","Sac3d1 Shd1"
"A6H6A9","Rabgap1l","Rabgap1l Hhl Kiaa0471"
"A6H6E2","Mmrn2","Mmrn2"
"A6H8H2","Dennd4c","Dennd4c"
"A6H8H5","Kcnb2","Kcnb2"
"A6X8Z5","Arhgap31","Arhgap31 Cdgap Kiaa1204"
"A6X935","Itih4","Itih4"
"A7L9Z8","Atp2c2","Atp2c2 Kiaa0703 Spca2"
"A7M7C7","Skor2","Skor2 Corl2"
"A7MCT6","Etnk2","Etnk2 Tuc1"
"A7RDN6","Rnls","Rnls"
"A7TZE6","Skint1","Skint1"
"A8VU90","Ankle1","Ankle1 Ankrd41 Lem3"
"A9Q751","Cfap221","Cfap221 Gm101 Pcdp1"
"B0F2B4","Nlgn4l","Nlgn4l Nl4* Nlgn4 Nlgn4x"
"B0V2N1","Ptprs","Ptprs"
"B1AQJ2","Usp36","Usp36 Kiaa1453"
"B1ARD8","Slfn8","Slfn8"
"B1AS29","Grik3","Grik3 Glur7"
"B1ASB6","Spocd1","Spocd1"
"B1ATG9","Trabd2b","Trabd2b Gm12824 Hkat Tiki2"
"B1AUH1","Ptpru","Ptpru Pcp2 Ptpf"
"B1AVY7","Kif16b","Kif16b Kiaa1590"
"B1AWL2","Znf462","Znf462 Zfp462"
"B1AWN4","Atp10b","Atp10b"
"B1AWN6","Scn2a","Scn2a Scn2a1"
"B1AXD8","Akirin2","Akirin2"
"B1AY10","Nfx1","Nfx1"
"B1AY15","Usp51","Usp51"
"B1AYL1","Scn7a","Scn7a Nag Nav2 scl11"
"B1AZ99","Otud3","Otud3"
"B1AZI6","Thoc2","Thoc2"
"B1AZP2","Dlgap4","Dlgap4 Kiaa0964 Sapap4"
"B1B0V2","Ezhip","Ezhip AU022751 KIP75"
"B2KF05","Brpf3","Brpf3"
"B2RPY5","Gpr161","Gpr161 Gm208"
"B2RQC2","Usp42","Usp42"
"B2RQC6","Cad","Cad"
"B2RQL2","Stox1","Stox1"
"B2RQR8","Ece2","Ece2"
"B2RR83","Ythdc2","Ythdc2"
"B2RRD7","Brpf1","Brpf1"
"B2RRE7","Otud4","Otud4 Kiaa1046"
"B2RS91","Rrn3","Rrn3"
"B2RSH2","Gnai1","Gnai1 Gnai-1"
"B2RU80","Ptprb","Ptprb"
"B2RUJ5","Apba1","Apba1 Mint1 mLin-10 X11"
"B2RUP2","Unc13d","Unc13d"
"B2RUR8","Otud7b","Otud7b"
"B2RVY9","Tmem182","Tmem182"
"B2RW38","Cfap58","Cfap58"
"B2RWS6","Ep300","Ep300 P300"
"B2RX12","Abcc3","Abcc3 Cmoat2 Mrp3"
"B2RX14","Tut4","Tut4 Kiaa0191 Zcchc11"
"B2RX88","Cspp1","Cspp1 Cspp"
"B2RXA7","Cyp26c1","Cyp26c1"
"B2RXE2","Slc9a5","Slc9a5 Nhe5"
"B2RXS4","Plxnb2","Plxnb2"
"B2RXV4","Flvcr1","Flvcr1 Mfsd7b"
"B2RXZ1","Pnldc1","Pnldc1"
"B2RY04","Dock5","Dock5 Lr2 Rlc"
"B2RY50","Odad2","Odad2 Armc4"
"B2RY71","Dnai3","Dnai3 Wdr63"
"B5KM66","Syce3","Syce3 Tseg2"
"B5TVM2","Ildr2","Ildr2 D1Ertd471e Ll"
"B5X0E4","Abcb5","Abcb5"
"B6A8R8","Tarm1","Tarm1 Gm9904"
"B7ZNG0","Kif7","Kif7"
"B8JK39","Itga9","Itga9"
"B8ZXI1","Qtrt2","Qtrt2 Qtrtd1"
"B9EHT4","Clip3","Clip3 Clipr59"
"B9EJ57","Mterf1b","Mterf1b Gm9897 Mterf Mterf1"
"B9EJ80","Pdzd8","Pdzd8"
"B9EJ86","Osbpl8","Osbpl8 Kiaa1451 Orp8"
"B9EJA2","Cttnbp2","Cttnbp2 Kiaa1758"
"B9EJV3","Greb1l","Greb1l Kiaa4095"
"B9EKI3","Tmf1","Tmf1 Ara160 Gm153"
"B9EKR1","Ptprz1","Ptprz1"
"C0HKE1","H2ac4","H2ac4 Hist1h2ab"
"C0HKE2","H2ac6","H2ac6 Hist1h2ac"
"C0HKE3","H2ac7","H2ac7 Hist1h2ad"
"C0HKE4","H2ac8","H2ac8 Hist1h2ae"
"C0HKE5","H2ac11","H2ac11 Hist1h2ag"
"C0HKE6","H2ac13","H2ac13 Hist1h2ai"
"C0HKE7","Hist1h2an","Hist1h2an"
"C0HKE8","Hist1h2ao","Hist1h2ao"
"C0HKE9","Hist1h2ap","Hist1h2ap"
"C0LLJ0","Kpna7","Kpna7"
"C3VD30","Zar1l","Zar1l Zar2"
"C3VPR6","Nlrc5","Nlrc5"
"C6KI89","Catsperg2","Catsperg2 Catsperg"
"D0G895","Ace3","Ace3"
"D0QMC3","Mndal","Mndal"
"D0VYS2","Hsf3","Hsf3"
"D2EAC2","Zbed6","Zbed6"
"D2J0Y4","D7Ertd443e","D7Ertd443e Fats"
"D3KU66","Asmt","Asmt Hiomt"
"D3YUJ3","Ccnyl1","Ccnyl1"
"D3YVF0","Akap5","Akap5 Akap150"
"D3YVL2","Cfap70","Cfap70 Ttc18"
"D3YWP0","Eef1akmt3","Eef1akmt3 Fam119b Mettl21b mCG_5197"
"D3YWQ0","Dgki","Dgki"
"D3YXG0","Hmcn1","Hmcn1"
"D3YXJ0","Dgkh","Dgkh"
"D3YXK1","Samd1","Samd1"
"D3YXK2","Safb","Safb Safb1"
"D3YYI7","Rnf217","Rnf217 Ibrdc1"
"D3YZU1","Shank1","Shank1"
"D3YZZ2","Tgfbr3l","Tgfbr3l Gm14378"
"D3Z120","Foxi3","Foxi3"
"D3Z1Q2","Mrap2","Mrap2"
"D3Z291","Calhm1","Calhm1"
"D3Z2R5","Selenon","Selenon Seln Sepn1"
"D3Z3K2","Ccnb1ip1","Ccnb1ip1 Gm288 Hei10 Mei4"
"D3Z4I3","Rbm24","Rbm24"
"D3Z5L6","Slc18b1","Slc18b1"
"D3Z5S8","Tent5a","Tent5a Fam46a"
"D3Z6P0","Pdia2","Pdia2 Pdip"
"D3Z752","Spx","Spx"
"D3Z7P3","Gls","Gls Gls1 Kiaa0838"
"D6MZJ6","Smpd5","Smpd5 Gm10345"
"D7PDD4","Mpig6b","Mpig6b AU023871 G6b G6b-B"
"E0CZ16","Klhl3","Klhl3"
"E1U8D0","Mtcl2","Mtcl2 Soga Soga1"
"E2JF22","Piezo1","Piezo1 Fam38a"
"E9PUL5","Prrt2","Prrt2"
"E9PUN2","Nrxn2","Nrxn2"
"E9PUQ8","Dgkd","Dgkd"
"E9PV24","Fga","Fga"
"E9PV87","Talpid3","Talpid3"
"E9PVA8","Gcn1","Gcn1 Gcn1l1"
"E9PVD3","Dchs1","Dchs1"
"E9PVX6","Mki67","Mki67"
"E9PX95","Abca17","Abca17"
"E9PXF8","Sbf2","Sbf2"
"E9PXX9","Slc28a1","Slc28a1"
"E9PY46","Ift140","Ift140 WDTC2"
"E9PY61","Gpr179","Gpr179 Nob5"
"E9PYH6","Setd1a","Setd1a"
"E9PYI1","Znf568","Znf568 chato Zfp568"
"E9PYK3","Parp4","Parp4 Kiaa0177"
"E9PYY5","Dnai4","Dnai4 Wdr78"
"E9PZ19","Igsf9b","Igsf9b Kiaa1030"
"E9PZ36","Pkhd1","Pkhd1"
"E9PZJ8","Ascc3","Ascc3"
"E9PZM4","Chd2","Chd2"
"E9PZQ0","Ryr1","Ryr1"
"E9PZZ1","Prdm13","Prdm13"
"E9Q0N2","Ptprh","Ptprh SAP-1"
"E9Q0S6","Tns1","Tns1"
"E9Q236","Abcc4","Abcc4 Mrp4"
"E9Q2M9","Wdfy4","Wdfy4"
"E9Q2Z1","Cecr2","Cecr2 Kiaa1740"
"E9Q394","Akap13","Akap13 Brx"
"E9Q3E1","Aldh3b2","Aldh3b2"
"E9Q3L2","Pi4ka","Pi4ka Pik4 Pik4ca"
"E9Q3M5","Slc4a5","Slc4a5"
"E9Q3T6","Prdm14","Prdm14"
"E9Q401","Ryr2","Ryr2"
"E9Q414","Apob","Apob"
"E9Q4F7","Ankrd11","Ankrd11"
"E9Q4N7","Arid1b","Arid1b Baf250b"
"E9Q4P1","Wdfy1","Wdfy1 Kiaa1435"
"E9Q4S1","Pde8b","Pde8b"
"E9Q4Z2","Acacb","Acacb Acc2 Accb"
"E9Q555","Rnf213","Rnf213 Mystr"
"E9Q557","Dsp","Dsp"
"E9Q5C9","Nolc1","Nolc1 Kiaa0035"
"E9Q5F9","Setd2","Setd2 Kiaa1732 Kmt3a"
"E9Q5G3","Kif23","Kif23"
"E9Q5G7","Oog1","Oog1 Oog"
"E9Q5K4","Cyp2c23","Cyp2c23 Cyp2c44"
"E9Q5K9","Ythdc1","Ythdc1 Kiaa1966"
"E9Q5R7","Nlrp12","Nlrp12 NALP12"
"E9Q612","Ptpro","Ptpro GLEPP1 Ptpn15 PTPU2"
"E9Q634","Myo1e","Myo1e Myr3"
"E9Q649","Gcnt4","Gcnt4"
"E9Q6W4","Znf296","Znf296 Zfp296"
"E9Q784","Zc3h13","Zc3h13"
"E9Q7D5","Arhgef5","Arhgef5"
"E9Q7E2","Arid2","Arid2 Baf200"
"E9Q7F2","Rnf169","Rnf169 Kiaa1991"
"E9Q7G0","Numa1","Numa1"
"E9Q7R9","Cfap43","Cfap43"
"E9Q7X6","Heg1","Heg1"
"E9Q7X7","Nrxn2","Nrxn2"
"E9Q816","Cyp2w1","Cyp2w1"
"E9Q876","Abca12","Abca12"
"E9Q8I9","Fry","Fry Kiaa4143"
"E9Q8Q6","Ccdc141","Ccdc141 Camdi"
"E9Q8Q8","Spaca6","Spaca6"
"E9Q8T2","Prdm15","Prdm15"
"E9Q8T7","Dnah1","Dnah1 Dhc7 Dnahc1"
"E9Q912","Rap1gds1","Rap1gds1"
"E9Q956","Mcmdc2","Mcmdc2"
"E9Q9A9","Oas2","Oas2 oasl11"
"E9Q9D5","Rabl2","Rabl2 Rabl2a"
"E9Q9F6","Catsperd","Catsperd Tmem146"
"E9Q9K5","Trdn","Trdn"
"E9Q9M8","Pwwp2b","Pwwp2b Pwwp2"
"E9Q9R9","Dlg5","Dlg5"
"E9Q9U0","Usp17lb","Usp17lb Dub1a"
"E9Q9W4","Slc27a6","Slc27a6 Acsvl2 Facvl2 Fatp1"
"E9Q9W7","Pdzd7","Pdzd7"
"E9QA28","Ceacam16","Ceacam16"
"E9QA62","Lmod3","Lmod3"
"E9QAG8","Znf431","Znf431 Zfp431 Zfp932"
"E9QAM5","Helz2","Helz2"
"E9QAT4","Sec16a","Sec16a Kiaa0310 Sec16"
"E9QAU8","Ark2c","Ark2c Gm96 Rnf165"
"F2YMG0","Prss56","Prss56"
"F2Z472","Svs3a","Svs3a Svs3"
"F6SEU4","Syngap1","Syngap1"
"F6TQD1","Rnf212","Rnf212"
"F6VAN0","Atf6","Atf6"
"F6ZDS4","Tpr","Tpr"
"F7BJB9","Morc3","Morc3 Nxp2 Zcwcc3"
"F7BWT7","Tspan15","Tspan15"
"F8VPJ6","Rfx7","Rfx7"
"F8VPN2","Tex15","Tex15"
"F8VPQ2","Arid4a","Arid4a Rbbp1 Rbp1"
"F8VPU2","Farp1","Farp1"
"F8VPZ5","Ercc6","Ercc6 Csb"
"F8VQ03","Adam3","Adam3 Cyrn1"
"F8VQB6","Myo10","Myo10"
"F8VQN3","Gpr31","Gpr31 Gpr31b Gpr31c"
"G3UXB3","Nkx1-1","Nkx1-1 Sax2"
"G3UZ78","Adgb","Adgb"
"G3X8Y1","Trim55","Trim55"
"G3X912","Sprtn","Sprtn Gm505"
"G3X939","Slc9a3","Slc9a3"
"G3X943","Slc39a2","Slc39a2 Zip2"
"G3X982","Aox3","Aox3 Aoh1"
"G3X9J0","Sipa1l3","Sipa1l3 Spal3"
"G3X9K3","Arfgef1","Arfgef1"
"G3X9X1","Kbtbd2","Kbtbd2"
"G3XA57","Rab11fip2","Rab11fip2"
"G3XA59","Lrrc32","Lrrc32"
"G5E829","Atp2b1","Atp2b1"
"G5E870","Trip12","Trip12"
"G5E8I7","Usp17lc","Usp17lc DUB-2 Dub2 Usp17l5"
"G5E8K5","Ank3","Ank3"
"G5E8P1","Brd1","Brd1 Brpf2 Kiaa4191"
"G5E8Q8","Adgrf5","Adgrf5 Gpr116"
"G5E8Z2","Taf4b","Taf4b Taf2c2 Tafii105"
"I7HJS4","Znf683","Znf683 Gm13060 Zfp683"
"J3KML8","Gfy","Gfy Gm581 Goofy"
"J3QMI4","Calhm3","Calhm3"
"J3QMK6","Aldh3b3","Aldh3b3"
"J3QMY9","Top6bl","Top6bl Gm960"
"J3QPC3","Actmap","Actmap"
"J3S6Y1","Tspear","Tspear Tnep1"
"K7N6K2","Trim34b","Trim34b"
"L0N7N1","Kif14","Kif14"
"L7N1X6","Fbxw15","Fbxw15 Fbxo12J"
"M0QWB7","Ascl5","Ascl5 AmeloD bHLHa47"
"O08523","Tecta","Tecta"
"O08524","Tectb","Tectb"
"O08528","Hk2","Hk2"
"O08529","Capn2","Capn2"
"O08530","S1pr1","S1pr1 Edg1 Lpb1"
"O08532","Cacna2d1","Cacna2d1 Cacna2"
"O08537","Esr2","Esr2 Estrb Nr3a2"
"O08538","Angpt1","Angpt1 Agpt"
"O08539","Bin1","Bin1 Amphl Sh3p9"
"O08543","Efna5","Efna5 Epl7 Eplg7 Lerk7"
"O08545","Efna3","Efna3 Epl3 Eplg3 Lerk3"
"O08547","Sec22b","Sec22b Sec22l1"
"O08550","Kmt2b","Kmt2b Mll2 Trx2 Wbp7"
"O08553","Dpysl2","Dpysl2 Crmp2 Ulip2"
"O08573","Lgals9","Lgals9"
"O08574","Mesp2","Mesp2"
"O08575","Eya2","Eya2 Eab1"
"O08579","Emd","Emd Sta"
"O08580","Esrra","Esrra Err1 Estrra Nr3b1"
"O08581","Kcnk1","Kcnk1"
"O08583","Alyref","Alyref Aly Ref1 Refbp1 THOC4"
"O08584","Klf6","Klf6 Copeb Cpbp"
"O08585","Clta","Clta"
"O08586","Pten","Pten Mmac1"
"O08599","Stxbp1","Stxbp1"
"O08600","Endog","Endog"
"O08601","Mttp","Mttp Mtp"
"O08602","Raet1a","Raet1a"
"O08603","Raet1b","Raet1b"
"O08604","Raet1c","Raet1c"
"O08605","Mknk1","Mknk1 Mnk1"
"O08608","Oaz2","Oaz2 Sez15"
"O08609","Mlx","Mlx Tcfl4"
"O08638","Myh11","Myh11"
"O08644","Ephb6","Ephb6 Cekl"
"O08648","Map3k4","Map3k4 Mekk4"
"O08650","Has3","Has3"
"O08663","Metap2","Metap2 Mnpep P67eif2"
"O08665","Sema3a","Sema3a Semad SemD"
"O08674","Rbpjl","Rbpjl Rbpl Rbpsuhl"
"O08675","F2rl2","F2rl2 Par3"
"O08677","Kng1","Kng1 Kng"
"O08686","Barx2","Barx2"
"O08689","Mstn","Mstn Gdf8"
"O08691","Arg2","Arg2"
"O08692","Ngp","Ngp"
"O08696","Foxm1","Foxm1 Fkh16"
"O08705","Slc10a1","Slc10a1 Ntcp"
"O08707","Ackr2","Ackr2 Ccbp2 D6"
"O08709","Prdx6","Prdx6 Aop2 Ltw4 Prdx5"
"O08710","Tg","Tg Tgn"
"O08712","Tnfrsf11b","Tnfrsf11b Ocif Opg"
"O08715","Akap1","Akap1 Akap"
"O08734","Bak1","Bak1 Bak"
"O08736","Casp12","Casp12"
"O08738","Casp6","Casp6 Mch2"
"O08739","Ampd3","Ampd3"
"O08746","Matn2","Matn2"
"O08747","Unc5c","Unc5c Rcm Unc5h3"
"O08749","Dld","Dld"
"O08750","Nfil3","Nfil3 E4bp4"
"O08755","Onecut1","Onecut1 Hnf6 Hnf6a"
"O08756","Hsd17b10","Hsd17b10 Erab Hadh2"
"O08759","Ube3a","Ube3a"
"O08760","Ogg1","Ogg1"
"O08762","Prss12","Prss12 Bssp3"
"O08784","Tcof1","Tcof1"
"O08785","Clock","Clock"
"O08786","Cckar","Cckar"
"O08788","Dctn1","Dctn1"
"O08789","Mnt","Mnt Rox"
"O08790","Fpr-s1","Fpr-s1 Fpr2 Fpr3 Fprl1 Lxa4r"
"O08791","Ebf3","Ebf3 Coe3"
"O08792","Ebf2","Ebf2 Coe2 Mmot1"
"O08795","Prkcsh","Prkcsh"
"O08796","Eef2k","Eef2k"
"O08807","Prdx4","Prdx4"
"O08808","Diaph1","Diaph1 Diap1"
"O08810","Eftud2","Eftud2 Snrp116"
"O08811","Ercc2","Ercc2 Xpd"
"O08832","Galnt4","Galnt4"
"O08842","Gfra2","Gfra2 Gdnfrb Trnr2"
"O08848","RO60","RO60 Ssa2 Trove2"
"O08849","Rgs2","Rgs2"
"O08852","Pkd1","Pkd1"
"O08856","Ell","Ell"
"O08858","Sstr5","Sstr5 Smstr5"
"O08859","Tnfaip6","Tnfaip6 Tnfip6 Tsg6"
"O08863","Birc3","Birc3"
"O08900","Ikzf3","Ikzf3 Zfpn1a3 Znfn1a3"
"O08901","Bub1","Bub1"
"O08908","Pik3r2","Pik3r2"
"O08911","Mapk12","Mapk12 Sapk3"
"O08912","Galnt1","Galnt1"
"O08914","Faah","Faah Faah1"
"O08915","Aip","Aip"
"O08917","Flot1","Flot1"
"O08919","Numbl","Numbl Nbl"
"O08934","Uncx","Uncx Uncx4.1"
"O08966","Slc22a1","Slc22a1 Lx1 Oct1"
"O08967","Cyth3","Cyth3 Grp1 Pscd3"
"O08969","Phlda2","Phlda2 Ipl Tssc3"
"O08983","Hps1","Hps1 Ep Hps"
"O08992","Sdcbp","Sdcbp"
"O09000","Ncoa3","Ncoa3 Aib1 Pcip Rac3 Tram1"
"O09005","Degs1","Degs1 Degs Des1 Mdes"
"O09008","Mfng","Mfng"
"O09009","Rfng","Rfng"
"O09010","Lfng","Lfng"
"O09012","Pex5","Pex5 Pxr1"
"O09037","Reg3a","Reg3a Pap2"
"O09039","Sh2b3","Sh2b3 Lnk"
"O09043","Napsa","Napsa Kdap Nap"
"O09044","Snap23","Snap23 Sndt"
"O09046","Il4i1","Il4i1 Fig1"
"O09047","C3ar1","C3ar1 C3r1"
"O09049","Reg3g","Reg3g Pap3"
"O09051","Guca2b","Guca2b"
"O09053","Wrn","Wrn"
"O09061","Psmb1","Psmb1"
"O09100","Gata2","Gata2"
"O09102","Gcm2","Gcm2 Gcmb"
"O09105","Neurod4","Neurod4 Ath3 Atoh3"
"O09106","Hdac1","Hdac1"
"O09107","Insl3","Insl3 Rlf"
"O09110","Map2k3","Map2k3 Mkk3 Prkmk3"
"O09112","Dusp8","Dusp8 Nttp1"
"O09113","Otp","Otp"
"O09114","Ptgds","Ptgds"
"O09118","Ntn1","Ntn1"
"O09126","Sema4d","Sema4d Semacl2 Semaj"
"O09127","Epha8","Epha8 Eek"
"O09130","Nfatc2ip","Nfatc2ip Nip45"
"O09131","Gsto1","Gsto1 Gstx Gtsttl"
"O09159","Man2b1","Man2b1 Laman Man2b Manb"
"O09160","Fut1","Fut1"
"O09161","Casq2","Casq2"
"O09164","Sod3","Sod3"
"O09165","Casq1","Casq1"
"O09172","Gclm","Gclm Glclr"
"O09173","Hgd","Hgd Aku Hgo"
"O09174","Amacr","Amacr Macr1"
"O09198","Mal","Mal"
"O35047","Psmc3ip","Psmc3ip Hop2 Tbpip"
"O35054","Cldn4","Cldn4 Cper Cpetr1"
"O35074","Ptgis","Ptgis Cyp8"
"O35082","Kl","Kl"
"O35083","Agpat1","Agpat1"
"O35084","Cyp27b1","Cyp27b1 Cyp27b Cyp40"
"O35085","Arx","Arx"
"O35089","Cnih2","Cnih2 Cnil"
"O35099","Map3k5","Map3k5 Ask1 Mekk5"
"O35111","Kcnk3","Kcnk3 Ctbak Task Task1"
"O35114","Scarb2","Scarb2"
"O35118","Gfra3","Gfra3"
"O35126","Atn1","Atn1 Drpla"
"O35129","Phb2","Phb2 Bap Bcap37 Rea"
"O35130","Emg1","Emg1 C2f Grcc2f"
"O35134","Polr1a","Polr1a Rpa1 Rpo1-4"
"O35136","Ncam2","Ncam2 Ocam Rncam"
"O35137","Alx4","Alx4"
"O35143","Atp5if1","Atp5if1 Atpi Atpif1 If1"
"O35144","Terf2","Terf2 Trf2"
