"pid","gene","genes"
"Q9JKB1","Uchl3","Uchl3"
"Q9JKB3","Ybx3","Ybx3 Csda Msy4"
"Q9JKC0","Ccl24","Ccl24 Scya24"
"Q9JKC6","Cend1","Cend1 Bm88"
"Q9JKC7","Ap4m1","Ap4m1"
"Q9JKC8","Ap3m1","Ap3m1"
"Q9JKD8","Tbx21","Tbx21 Tbet Tblym"
"Q9JKD9","Zbtb32","Zbtb32 Rog Tzfp"
"Q9JKE1","Trem3","Trem3"
"Q9JKE2","Trem1","Trem1"
"Q9JKF1","Iqgap1","Iqgap1"
"Q9JKF4","Clec6a","Clec6a Clec4n Clecsf10 Dectin2"
"Q9JKF6","Nectin1","Nectin1 Hvec Prr1 Pvrl1"
"Q9JKJ9","Cyp39a1","Cyp39a1"
"Q9JKK1","Stx6","Stx6"
"Q9JKK7","Tmod2","Tmod2"
"Q9JKK8","Atr","Atr Kiaa4069"
"Q9JKL5","Tesc","Tesc Chp3"
"Q9JKN1","Slc30a7","Slc30a7 Znt7 Zntl2"
"Q9JKN5","Olig1","Olig1"
"Q9JKN6","Nova1","Nova1"
"Q9JKP5","Mbnl1","Mbnl1 Exp Mbnl"
"Q9JKQ4","Irx5","Irx5 Irxb2"
"Q9JKR6","Hyou1","Hyou1 Grp170"
"Q9JKS4","Ldb3","Ldb3 Kiaa0613"
"Q9JKS5","Habp4","Habp4"
"Q9JKT4","Tas2r105","Tas2r105 Tas2r5 Tas2r9"
"Q9JKU8","Lmx1a","Lmx1a"
"Q9JKV1","Adrm1","Adrm1 Gp110"
"Q9JKV2","Cilk1","Cilk1 Ick"
"Q9JKW0","Arl6ip1","Arl6ip1 Arl6ip"
"Q9JKX3","Tfr2","Tfr2 Trfr2"
"Q9JKX4","Aatf","Aatf Che1 Trb"
"Q9JKX6","Nudt5","Nudt5"
"Q9JKX8","Upk3a","Upk3a Upk3"
"Q9JKY0","Cnot9","Cnot9 Rcd1 Rqcd1"
"Q9JKY5","Hip1r","Hip1r"
"Q9JKZ2","Slc5a3","Slc5a3"
"Q9JL04","Fmn2","Fmn2"
"Q9JL06","Lpar2","Lpar2 Edg4 Lpa2"
"Q9JL16","Isg20","Isg20"
"Q9JL18","Bace2","Bace2"
"Q9JL19","Ncoa6","Ncoa6 Aib3 Prip Rap250 Trbp"
"Q9JL21","Ccr10","Ccr10 Cmkbr9 Gpr2"
"Q9JL26","Fmnl1","Fmnl1 Frl Frl1"
"Q9JL27","Fut2","Fut2 Sec2"
"Q9JL35","Hmgn5","Hmgn5 Garp45 Nsbp1"
"Q9JL56","Gde1","Gde1 Mir16"
"Q9JL60","Gmeb1","Gmeb1"
"Q9JL61","Rfx5","Rfx5"
"Q9JL99","Clec1b","Clec1b Clec2"
"Q9JLA2","Il36a","Il36a Fil1e Il1e Il1f6 Il1h1"
"Q9JLB2","Pals1","Pals1 Mpp5"
"Q9JLB4","Cubn","Cubn Ifcr"
"Q9JLB9","Nectin3","Nectin3 Pvrl3"
"Q9JLC3","Msrb1","Msrb1 Sepr Sepx1"
"Q9JLC6","Tef","Tef"
"Q9JLF1","Gabrq","Gabrq"
"Q9JLF6","Tgm1","Tgm1"
"Q9JLF7","Tlr5","Tlr5"
"Q9JLI3","Mmel1","Mmel1 Nep2 Nl1 Sep"
"Q9JLI6","Scly","Scly Scl"
"Q9JLI7","Spag6","Spag6 Pf16"
"Q9JLI8","Sart3","Sart3 Kiaa0156"
"Q9JLJ0","Litaf","Litaf N4wbp3 Tbx1"
"Q9JLJ1","Selenok","Selenok Selk"
"Q9JLJ2","Aldh9a1","Aldh9a1"
"Q9JLJ4","Elovl2","Elovl2 Ssc2"
"Q9JLJ5","Elovl1","Elovl1 Ssc1"
"Q9JLK4","Cabp2","Cabp2"
"Q9JLK7","Cabp1","Cabp1"
"Q9JLL3","Tnfrsf19","Tnfrsf19 Taj Troy"
"Q9JLM8","Dclk1","Dclk1 Dcamkl1 Dclk"
"Q9JLM9","Grb14","Grb14"
"Q9JLN5","Ermap","Ermap"
"Q9JLN6","Adam28","Adam28"
