,CellType,Protein,Corr
115,PCC,nan_D3YZZ5,0.4390593562431524
116,PCC,nan_D3Z0M9,0.007632051209318637
117,PCC,nan_D3Z2H9,0.2992140131108804
118,PCC,nan_D3Z3N4,-0.012861929926109872
119,PCC,nan_D3Z5G7,0.22128247896331313
120,PCC,Pdia2_D3Z6P0,0.15087673389127781
121,PCC,Gls_D3Z7P3,0.4910971366228153
122,PCC,nan_D3Z7X0,0.2721122507993303
123,PCC,nan_D4AFX7,0.010136988697685608
124,PCC,nan_E0CZ22,0.17774144240765954
125,PCC,Mtcl2_E1U8D0,0.07916533469534359
126,PCC,Fga_E9PV24,0.37999441582986226
127,PCC,nan_E9PV38,-0.06775160834137295
128,PCC,nan_E9PV66,-0.17944249022295836
129,PCC,Gcn1_E9PVA8,0.3506417784823864
130,PCC,Dchs1_E9PVD3,0.1628870792932993
131,PCC,nan_E9PVZ8,0.1781986794302843
132,PCC,nan_E9PWI3,0.04004898502532901
133,PCC,nan_E9PWQ3,0.2616679249286927
134,PCC,nan_E9PWW6,0.08149792711207825
135,PCC,nan_E9PWW9,-0.05973612665878542
136,PCC,nan_E9PXC0,0.12327070795439052
137,PCC,nan_E9PXX8,-0.04337611885429767
138,PCC,nan_E9PY16,0.049832337835873916
139,PCC,nan_E9PYF4,-0.057613982577877816
140,PCC,nan_E9PYG6,0.23648138050772158
141,PCC,Parp4_E9PYK3,0.1522455215560634
142,PCC,Ascc3_E9PZJ8,-0.13446293367424852
143,PCC,nan_E9Q0B5,0.013477982007106058
144,PCC,nan_E9Q0F0,0.006896454223143994
145,PCC,nan_E9Q0Q3,0.032105802708888985
146,PCC,nan_E9Q166,-0.0035112393700525435
147,PCC,nan_E9Q1Y9,-0.027684380275958008
148,PCC,nan_E9Q1Z0,-0.0010141837807748511
149,PCC,Abcc4_E9Q236,0.39501875767701994
150,PCC,nan_E9Q2E9,0.17388627136868665
151,PCC,Wdfy4_E9Q2M9,-0.3194867914604355
152,PCC,Pi4ka_E9Q3L2,0.08651425569665673
153,PCC,nan_E9Q3M9,0.020715007610343634
154,PCC,nan_E9Q3P4,-0.06935748197212219
155,PCC,Apob_E9Q414,-0.05353100221307768
156,PCC,Klhl18_E9Q4F2,0.07564138813301104
157,PCC,Pde8b_E9Q4S1,0.04973432899217568
158,PCC,nan_E9Q512,0.10075327279942888
159,PCC,Rnf213_E9Q555,0.027242712054187143
160,PCC,Dsp_E9Q557,-0.2117133393495619
161,PCC,Nolc1_E9Q5C9,0.2248678451832128
162,PCC,Ythdc1_E9Q5K9,0.3346702323105002
163,PCC,nan_E9Q616,0.36846599445458605
164,PCC,Myo1e_E9Q634,0.1379245191905128
165,PCC,nan_E9Q6R7,0.17227986183823557
166,PCC,Numa1_E9Q7G0,0.18095436364162984
167,PCC,nan_E9Q7L0,0.1743484226112378
168,PCC,Abca12_E9Q876,0.026131727610485794
169,PCC,nan_E9Q8V6,0.2002143053665421
170,PCC,Rap1gds1_E9Q912,0.2044320882426921
171,PCC,nan_E9Q9D8,-0.08726355867190097
172,PCC,nan_E9QA15,0.19389603181239434
173,PCC,nan_E9QAE3,0.055726478985793124
174,PCC,nan_F6R7E8,0.11113607231205234
175,PCC,nan_F6TQW2,0.060653358664468145
176,PCC,nan_F6YVP7,0.31926354283846897
177,PCC,Tpr_F6ZDS4,0.24437708721884702
178,PCC,Morc3_F7BJB9,0.07651014548434809
179,PCC,Skic3_F8VPK0,0.137719777296343
180,PCC,nan_F8VPN4,0.18813456424227742
181,PCC,Farp1_F8VPU2,0.5846642876172506
182,PCC,nan_F8VQ29,0.0256052108726836
183,PCC,nan_F8VQ70,0.15667525241307287
184,PCC,nan_F8VQ84,-0.008616644246731373
185,PCC,nan_F8VQC1,0.0620875455010261
186,PCC,nan_F8VQG4,0.003963610595891472
187,PCC,nan_G3UXL2,0.17662840877322022
188,PCC,QNG1_G3X8U3,0.21503864893748995
189,PCC,nan_G3X972,0.4205116681557378
190,PCC,nan_G3X9B1,0.20026612962583107
191,PCC,Nccrp1_G3X9C2,-0.04985070916404626
192,PCC,Arfgef1_G3X9K3,-0.1413470446763009
193,PCC,nan_G3X9V8,0.07956381108963081
194,PCC,Atp2b1_G5E829,0.5104666215308203
195,PCC,Trip12_G5E870,0.07225042165894216
196,PCC,nan_G5E895,0.48241356438873123
197,PCC,Poglut3_G5E897,-0.09006214881403113
198,PCC,Arfip1_G5E8V9,0.48811786951686026
199,PCC,nan_G5E8Z3,0.03580025980193152
200,PCC,nan_H3BKP8,0.08529910451384558
201,PCC,Calhm3_J3QMI4,-0.0701454711854298
202,PCC,nan_J3QN89,-0.01702400794372337
203,PCC,nan_K7N641,-0.02708917172616859
204,PCC,Hk2_O08528,0.42698418213697015
205,PCC,Capn2_O08529,0.4244884129433625
206,PCC,S1pr1_O08530,0.0585631137931653
207,PCC,Sec22b_O08547,0.4177157197605736
208,PCC,Dpysl2_O08553,0.2199922364559488
209,PCC,Lgals9_O08573,0.2306211017539107
210,PCC,Emd_O08579,0.01687986263774473
211,PCC,Alyref_O08583,0.05321928598641936
212,PCC,Clta_O08585,0.045552423188779834
213,PCC,Stxbp1_O08599,0.07470225304788428
214,PCC,Endog_O08600,0.20098838128591398
215,PCC,Myh11_O08638,0.0010019144281133959
216,PCC,Metap2_O08663,0.2405371877978249
217,PCC,Kng1_O08677,0.275779611421192
218,PCC,Capn5_O08688,0.1277804365600885
219,PCC,Prdx6_O08709,0.2899341033712717
220,PCC,Bak1_O08734,0.2633024607718364
221,PCC,Casp6_O08738,0.21576511571978346
222,PCC,Ampd3_O08739,0.17109058259966894
223,PCC,Unc5c_O08747,0.20022404165836183
224,PCC,Dld_O08749,0.4263312201126718
225,PCC,Hsd17b10_O08756,0.635456086616941
226,PCC,Tcof1_O08784,-0.15772822616852028
227,PCC,Dctn1_O08788,0.15821091495528306
228,PCC,Ebf3_O08791,0.0020608826466664387
229,PCC,Prkcsh_O08795,0.42709471842685126
230,PCC,nan_O08797,0.2998813756763017
231,PCC,Prdx4_O08807,0.021360848996003354
232,PCC,Diaph1_O08808,0.13724701511541937
233,PCC,Eftud2_O08810,0.26188616578587304
234,PCC,RO60_O08848,0.10235539710310095
235,PCC,Pkd1_O08852,-0.05620231376244646
236,PCC,Galnt1_O08912,0.1341978044610558
237,PCC,Aip_O08915,-0.01395621922409044
238,PCC,Flot1_O08917,0.11178096807454775
239,PCC,Tuft1_O08970,0.12135916268663578
240,PCC,Atox1_O08997,-0.016111238431735946
241,PCC,Ltbp2_O08999,0.1880914406049447
242,PCC,Napsa_O09043,-0.12929918814025435
243,PCC,Psmb1_O09061,0.09761058640271232
244,PCC,Hdac1_O09106,0.25669892067977396
245,PCC,Sypl1_O09117,0.14383311389064685
246,PCC,Gsto1_O09131,0.5413139045598108
247,PCC,Man2b1_O09159,0.02972727625644612
248,PCC,Rpl21_O09167,0.3357864045693355
249,PCC,Psmc3ip_O35047,-0.10205004629133056
250,PCC,Ptgis_O35074,0.0608102447856938
251,PCC,Scarb2_O35114,0.1818635266179723
252,PCC,Phb2_O35129,0.566764271079729
253,PCC,Atp5if1_O35143,0.28641295747908463
254,PCC,Col15a1_O35206,-0.019902873546507095
255,PCC,Cpsf2_O35218,0.012862023660884396
256,PCC,Psmd4_O35226,0.25060312080237773
257,PCC,Kifc3_O35231,0.0022228024428260005
258,PCC,Ptpn9_O35239,0.16598968166043926
259,PCC,Dhx15_O35286,0.328349918239325
260,PCC,Purb_O35295,0.28736535618325504
261,PCC,Srsf5_O35326,0.2832058444548563
262,PCC,Kpna4_O35343,-0.014101981838699762
263,PCC,Kpna3_O35344,0.08623215143106748
264,PCC,Kpna6_O35345,0.1720619440488769
265,PCC,Capn1_O35350,0.026377120044903828
266,PCC,Abcc1_O35379,0.044465141645027344
267,PCC,Anp32a_O35381,0.19656080417118577
268,PCC,Exoc4_O35382,0.021688461779240616
269,PCC,Ppef2_O35385,0.012808973407645021
270,PCC,Hax1_O35387,0.1309833253055092
271,PCC,Sult2b1_O35400,0.05713875492659569
272,PCC,Pld3_O35405,-0.11379023539290971
273,PCC,Bok_O35425,-0.021264182217357337
274,PCC,Hpn_O35453,0.22564224451614476
275,PCC,Ech1_O35459,0.14479076243484582
276,PCC,Fkbp8_O35465,0.010165746714124062
277,PCC,Notch2_O35516,0.07079674832606536
278,PCC,Psmd14_O35593,0.19504013365950348
279,PCC,Adam10_O35598,0.01626696647220327
280,PCC,Npc1_O35604,-0.07674531097209263
281,PCC,Scamp3_O35609,0.07177401781568973
282,PCC,Stag2_O35638,0.0068228070315798
283,PCC,Anxa3_O35639,0.6174541912310526
284,PCC,Anxa8_O35640,-0.012067760401686202
285,PCC,Ap1b1_O35643,0.20890898859633564
286,PCC,C1qbp_O35658,0.3233943353585454
287,PCC,Myadm_O35682,0.4485992293516457
288,PCC,Nudc_O35685,-0.03777964291552746
289,PCC,Pnn_O35691,0.16879495619024124
290,PCC,Sptlc1_O35704,0.36155094511274927
291,PCC,Hnrnph1_O35737,0.3838711212314912
292,PCC,Chil3_O35744,0.16618932617473697
293,PCC,Api5_O35841,0.3172196939410262
294,PCC,Bcat2_O35855,0.5352318000847712
295,PCC,Timm44_O35857,0.05760069029629034
296,PCC,Cops5_O35864,0.299370221104454
297,PCC,Calu_O35887,0.333997979448768
298,PCC,Sp100_O35892,-0.07559767055857636
299,PCC,Aldh1a7_O35945,-0.04236238695686093
300,PCC,Psmb10_O35955,-0.1019820862935761
301,PCC,nan_O43790,-0.04777916502860643
302,PCC,Zw10_O54692,-0.038889672648855504
303,PCC,Cavin1_O54724,-0.028648086566468334
304,PCC,Ddost_O54734,0.3930627388284834
305,PCC,Ap3d1_O54774,0.020199861712122732
306,PCC,Il16_O54824,0.03500936413625601
307,PCC,Bysl_O54825,0.10606035121098166
308,PCC,Cd200_O54901,0.06388629335425987
309,PCC,Reps1_O54916,0.10097259745050506
310,PCC,Smarce1_O54941,0.06720256829147589
311,PCC,Prkag1_O54950,0.21963942953708188
312,PCC,Banf1_O54962,-0.0043183005468979616
313,PCC,Tnk2_O54967,0.057700124766082266
314,PCC,Get3_O54984,0.3087367869291519
315,PCC,Slk_O54988,0.12927593691303546
316,PCC,Prom1_O54990,0.23077686681206047
317,PCC,Pgrmc1_O55022,-0.019491548532825476
318,PCC,Impa1_O55023,0.3412973948358454
319,PCC,Entpd2_O55026,-0.24444268523054416
320,PCC,Copb2_O55029,0.40310340764608177
321,PCC,Pde6d_O55057,0.11066963274368762
322,PCC,Tpmt_O55060,0.07665367267768015
323,PCC,Impact_O55091,-0.06108224728054815
324,PCC,Stk10_O55098,0.08412936230546829
325,PCC,Syngr1_O55100,0.13192052900931014
326,PCC,Syngr2_O55101,0.4074742171781038
327,PCC,Dsg2_O55111,0.15333717951341796
328,PCC,Nipsnap1_O55125,0.46910721664964417
329,PCC,Nipsnap2_O55126,0.2854146921011212
330,PCC,Septin7_O55131,0.3060436199128724
331,PCC,Eif6_O55135,0.08506714487879234
332,PCC,Rpl35a_O55142,0.1296275138520746
333,PCC,Atp2a2_O55143,0.439817144143911
334,PCC,Supt5h_O55201,0.1917832155067164
335,PCC,Ilk_O55222,0.24777142947757014
336,PCC,Chkb_O55229,-0.0005417122958495604
337,PCC,Psmb5_O55234,0.19827820588665568
338,PCC,Dhx9_O70133,0.3580399988853545
339,PCC,Ncf2_O70145,0.012347296862603033
340,PCC,Dpm1_O70152,0.2986402326482058
341,PCC,Pip4k2a_O70172,0.03157163933696627
342,PCC,Eif3d_O70194,0.2751085971757848
343,PCC,Atp9a_O70228,0.31521460235515075
344,PCC,Eef1b_O70251,0.2215435587556437
345,PCC,Hmox2_O70252,-0.01090783734969624
346,PCC,Lnx1_O70263,0.06831249590525224
347,PCC,Nmt1_O70310,0.17525001369027832
348,PCC,Nmt2_O70311,0.24937598429209815
349,PCC,Epb41l2_O70318,0.35218038514076816
350,PCC,Gpx4_O70325,0.27378721576515813
351,PCC,Emc8_O70378,0.17165606728690022
352,PCC,Pdlim1_O70400,0.24950075776194117
353,PCC,Aoc3_O70423,0.017240519751174355
354,PCC,Psma3_O70435,-0.07905457857240218
355,PCC,Stx7_O70439,0.20113355478948608
356,PCC,Sfn_O70456,0.15025491679101932
357,PCC,Ugdh_O70475,0.33673869829609293
358,PCC,Stra6_O70491,0.31652846133920837
359,PCC,Snx3_O70492,0.16846492597851767
360,PCC,Snx12_O70493,0.05162152051135139
361,PCC,Hsd17b12_O70503,0.4950936509799662
362,PCC,Srpk1_O70551,-0.06426962421472115
363,PCC,Sprr2h_O70559,0.01866411919871234
364,PCC,Sprr2k_O70562,-0.06633999244836242
365,PCC,Slc25a17_O70579,0.035186179268730876
366,PCC,Alox12b_O70582,-0.12855126673430764
367,PCC,Cask_O70589,-0.07100128606927393
368,PCC,Pfdn2_O70591,-0.02569051578547531
369,PCC,nan_O76009,-0.08922827918943949
